timestep,episode,ep_length,cum_reward,R_water,R_fert,R_resource,R_losses,R_daily_mean,R_seasonal,R_yield,R_hiad,R_ane,R_penalty,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,energy_budget,comm_quality
8317,52,156,-0.953981,0.2,-0.463388,0.019124,0.120558,0.00205042,-0.380759,-1.0,-0.456614,0.348611,0.198407,2607.4,48.3,77.6,544.0,100.0,1.0
8477,53,160,-4.575517,0.58679,-0.371165,0.007618,0.0,0.00193516,-0.606823,-1.0,-0.945668,-0.22223,0.227934,2136.7,68.7,56.2,748.5,100.0,1.0
8637,54,160,-3.627159,0.2,0.6,0.000532,0.075492,0.00259781,-0.719802,-1.0,-1.0,-0.585011,0.221492,983.3,59.2,73.4,422.8,100.0,1.0
8802,55,165,1.76818,0.2,-0.244979,0.013915,0.052825,0.00251609,-0.300125,-0.954634,-0.226876,0.503387,0.233,3982.8,66.2,67.4,563.5,100.0,1.0
8958,56,156,-4.093446,0.2,-0.447652,0.00493,0.030649,0.00213063,-0.598727,-1.0,-0.935226,-0.21379,0.205336,1919.6,61.0,52.7,562.5,100.0,1.0
9118,57,160,1.897759,0.427164,-0.107983,0.00308,0.0,0.00231479,-0.246288,-0.95186,-0.101637,0.621881,0.20972,3993.4,61.6,55.8,486.4,100.0,1.0
9278,58,160,-3.219544,0.2,0.665566,0.006671,0.020728,0.0027595,-0.663709,-1.0,-0.82129,-0.448088,0.235767,1729.5,78.3,39.9,495.5,100.0,1.0
9440,59,162,-2.414986,0.617707,-0.509788,0.0,0.0,0.00271066,-0.597475,-1.0,-1.0,-0.19995,0.18745,1615.2,50.5,61.3,202.8,100.0,1.0
9603,60,163,-4.328122,0.538017,-0.435536,0.0273,6e-06,0.00189389,-0.590174,-1.0,-0.853734,-0.169211,0.270185,2540.8,76.5,79.0,886.9,100.0,1.0
9763,61,160,0.606316,0.2,-0.361577,0.000844,0.223382,0.00224927,-0.319689,-1.0,-0.357687,0.514365,0.191149,3619.3,59.7,41.8,389.8,100.0,1.0
9922,62,159,-2.76412,1.0,-0.48515,0.001392,0.0,0.00257561,-0.589611,-1.0,-1.0,-0.179044,0.179488,1855.4,56.5,38.2,474.9,100.0,1.0
10085,63,163,-1.690302,0.466093,-0.44819,0.0,6e-06,0.00223245,-0.473089,-1.0,-0.605973,0.096785,0.207635,2562.1,58.4,61.6,530.1,100.0,1.0
