scenario,level_idx,level_label,corner,episode,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm,cum_reward
sensor_rate,1,2 %,balanced,1,0.7713180780410767,-0.4724141061306,0.594648003578186,10558.721923828125,500.33189392089844,162.14080810546875,0.8244425376062415
sensor_rate,1,2 %,balanced,2,1.0,-0.2747601270675659,0.5545805096626282,11685.352783203125,402.80992126464844,178.16778945922852,1.0508438961008957
sensor_rate,1,2 %,balanced,3,-0.020069994032382965,-0.4999568462371826,0.5170584917068481,7543.5333251953125,377.1441192626953,193.17659950256348,0.6690960892235189
sensor_rate,2,5 %,yield,1,0.7441130876541138,-0.716991662979126,0.43344584107398987,10455.07080078125,923.5655622537008,226.6216640472412,1.304622086668967
sensor_rate,2,5 %,yield,2,1.0,-0.6530288457870483,0.40927422046661377,11568.43017578125,833.5296440124512,236.29030799865723,1.6207935664730626
sensor_rate,2,5 %,yield,3,-0.3795710802078247,-0.8355444073677063,0.38852453231811523,6173.834228515625,938.5259105688765,244.59019088745117,0.2799196874362564
sensor_rate,2,5 %,n_eff,1,0.28423061966896057,0.20604786276817322,0.6303591728210449,8702.918701171875,180.40160369873047,147.8563404083252,0.5816616608926228
sensor_rate,2,5 %,n_eff,2,1.0,0.3745936155319214,0.6346064805984497,11538.446044921875,209.8519515991211,146.15740966796875,0.9110436438429307
sensor_rate,2,5 %,n_eff,3,-0.04815385490655899,-0.13635790348052979,0.6111924052238464,7436.5338134765625,215.26665496826172,155.52304553985596,0.4266601017339494
sensor_rate,2,5 %,water,1,0.7444382905960083,-0.2555919587612152,0.7094954252243042,10456.309814453125,351.1619110107422,116.20182037353516,1.2116875726402028
sensor_rate,2,5 %,water,2,1.0,-0.4175318777561188,0.6484740972518921,11531.71630859375,494.95052337646484,140.6103515625,1.32398557317889
sensor_rate,2,5 %,water,3,-0.3667986989021301,-0.766091525554657,0.64531010389328,6222.4969482421875,665.0568389892578,141.87595558166504,1.3136390860073655
sensor_rate,2,5 %,balanced,1,0.738426685333252,-0.3731808364391327,0.6262201070785522,10433.40576171875,416.1250305175781,149.51195526123047,0.8481768650732265
sensor_rate,2,5 %,balanced,2,1.0,-0.5138446688652039,0.60454261302948,11608.30322265625,596.9441146850586,158.1829605102539,1.0245424758717498
sensor_rate,2,5 %,balanced,3,-0.02337278053164482,-0.598793089389801,0.5536462068557739,7530.94970703125,469.26841735839844,178.5415267944336,0.647712124023064
sensor_rate,3,10 %,yield,1,0.7673615217208862,-0.7580446004867554,0.40171679854393005,10543.6474609375,1089.4204444885254,239.3132839202881,1.3604432579519399
sensor_rate,3,10 %,yield,2,1.0,-0.7373375296592712,0.40136975049972534,11433.1982421875,1088.2024116516113,239.45209503173828,1.6349375654325375
sensor_rate,3,10 %,yield,3,-0.06273756921291351,-0.20461586117744446,0.5294922590255737,7380.9698486328125,231.9938735961914,188.20309448242188,0.6016108092974938
sensor_rate,3,10 %,n_eff,1,0.41873401403427124,-0.20284293591976166,0.7634463310241699,9215.376586914062,289.00755310058594,94.62146377563477,0.30999891313455863
sensor_rate,3,10 %,n_eff,2,0.7514991164207458,0.21189475059509277,0.6457858085632324,10483.211669921875,216.25664520263672,141.68567562103271,0.767013534043531
sensor_rate,3,10 %,n_eff,3,-0.10425381362438202,-0.2809498608112335,0.5921326279640198,7222.79296875,251.12271881103516,163.1469554901123,0.28954104611445874
sensor_rate,3,10 %,water,1,0.5916268825531006,-0.5021794438362122,0.7231815457344055,9874.098510742188,495.8663558959961,110.72738075256348,1.2628194142899862
sensor_rate,3,10 %,water,2,1.0,-0.34957024455070496,0.6541520953178406,11511.827392578125,442.4700469970703,138.33916854858398,1.340769035842313
sensor_rate,3,10 %,water,3,-0.08528037369251251,-0.7038483023643494,0.5942568778991699,7295.081787109375,615.8230819702148,162.29723805457115,1.269548858270388
sensor_rate,3,10 %,balanced,1,0.7319848537445068,-0.44441932439804077,0.6302218437194824,10408.8623046875,468.3776321411133,147.91126251220703,0.8230772506897028
sensor_rate,3,10 %,balanced,2,1.0,-0.41268637776374817,0.581179141998291,11600.262451171875,493.7848311181957,167.5283489227295,1.0440352697100244
sensor_rate,3,10 %,balanced,3,-0.02382117323577404,-0.671153724193573,0.5286568999290466,7529.2413330078125,572.3982391357422,188.53722953796387,0.6261505658270845
sensor_rate,4,20 %,yield,1,0.7590389847755432,-0.6679782867431641,0.4392624497413635,10511.9384765625,791.5098609924316,224.295015335083,1.2915162142401213
sensor_rate,4,20 %,yield,2,1.0,-0.7390959858894348,0.4044157862663269,11438.536376953125,1096.0482368469238,238.23368879432203,1.635719833880069
sensor_rate,4,20 %,yield,3,-0.2769709825515747,-0.7988613843917847,0.3604956865310669,6564.7406005859375,815.9472709363273,255.80172157287598,0.41990964295439315
sensor_rate,4,20 %,n_eff,1,0.6412807106971741,0.008543086238205433,0.7158824801445007,10063.279418945312,249.4509048461914,113.64701652526855,0.48055834361127076
sensor_rate,4,20 %,n_eff,2,0.9861275553703308,-0.0882294550538063,0.6053657531738281,11377.14599609375,311.9520060104956,157.85369968414307,0.5032197931901163
sensor_rate,4,20 %,n_eff,3,-0.36481723189353943,-0.18349750339984894,0.6098400354385376,6230.04638671875,190.7540512084961,156.06399536132812,0.25281485178581703
sensor_rate,4,20 %,water,1,0.737085223197937,-0.3688633441925049,0.7255600690841675,10428.294677734375,413.07594299316406,109.77596092224121,1.2284055682876716
sensor_rate,4,20 %,water,2,1.0,-0.44948461651802063,0.6428914666175842,11483.1103515625,521.4709091186523,142.84340286254883,1.323638378389874
sensor_rate,4,20 %,water,3,-0.2903105914592743,-0.6030589938163757,0.6085553169250488,6513.9166259765625,410.2572555541992,156.57788467407227,1.2874258383017438
sensor_rate,4,20 %,balanced,1,0.5758904218673706,-0.4128483235836029,0.6699731349945068,9814.142456054688,417.8708267211914,132.01074627363488,0.7950686137717684
sensor_rate,4,20 %,balanced,2,1.0,-0.5578571557998657,0.5752836465835571,11625.615234375,657.3449554443359,169.88654327392578,1.0016131729217603
