timestep,episode,ep_length,cum_reward,R_water,R_fert,R_resource,R_losses,R_daily_mean,R_seasonal,R_yield,R_hiad,R_ane,R_penalty,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,energy_budget,comm_quality
12145,76,151,-2.982601,1.0,0.677987,0.001548,0.0,0.00272956,-0.711335,-1.0,-1.0,-0.451262,0.516969,1493.1,68.0,68.0,247.5,100.0,1.0
12310,77,165,-5.086405,0.565433,-0.504712,0.0,0.0,0.00174223,-0.645376,-1.0,-0.948185,-0.302871,0.472765,1782.0,63.9,42.4,770.9,100.0,1.0
12475,78,165,0.218739,0.227645,-0.317584,0.0,0.04095,0.00225526,-0.360024,-0.989674,-0.54009,0.407641,0.51152,3849.3,68.4,54.9,476.6,100.0,1.0
12637,79,162,6.928142,0.850884,-0.283227,0.0,0.0,0.00212228,0.061237,-0.729393,0.72037,0.960476,0.458396,4841.0,61.7,43.8,522.9,100.0,1.0
12791,80,154,-4.327178,0.378443,0.603131,0.0,0.0,0.00216626,-0.672789,-1.0,-1.0,-0.394566,0.423456,1340.2,55.3,60.1,338.6,100.0,1.0
12959,81,168,0.079766,0.518652,-0.425759,0.0,2.8e-05,0.00201857,-0.334331,-1.0,0.475265,0.233515,0.567939,3720.0,75.4,67.0,544.1,100.0,1.0
13121,82,162,4.39125,0.260738,-0.157175,0.0,7e-06,0.00156066,0.003659,-0.649702,0.732162,0.768732,0.556091,5144.6,72.7,78.5,701.4,100.0,1.0
13278,83,157,-0.916583,1.0,0.6,0.00486,0.0,0.0034046,-0.737235,-1.0,-0.910949,-0.573251,0.477513,1084.1,63.5,54.9,249.4,100.0,1.0
13433,84,155,-3.118227,0.2,-0.502151,0.002781,0.143515,0.0015302,-0.420826,-1.0,-0.492722,0.179137,0.421257,2532.4,53.7,75.7,664.9,100.0,1.0
13594,85,161,2.148771,0.38785,-0.154688,0.00026,0.000133,0.00177599,-0.158982,-0.829252,0.069713,0.646128,0.509298,4460.6,67.7,58.5,770.1,100.0,1.0
13755,86,161,2.33514,0.2,-0.086421,0.007379,0.006712,0.0017289,-0.14077,-0.938596,0.185154,0.737628,0.444732,4043.9,58.2,62.4,941.7,100.0,1.0
13912,87,157,-2.124294,0.978653,-0.36549,0.009079,0.0,0.00220563,-0.471039,-1.0,-0.877485,0.136467,0.405271,2381.6,52.4,64.2,251.6,100.0,1.0
14074,88,162,-1.864551,0.505879,0.760052,0.002174,0.0,0.0027377,-0.555083,-1.0,-0.452825,-0.177226,0.488859,2149.5,65.3,52.8,394.2,100.0,1.0
14235,89,161,-1.299088,0.927979,-0.418574,0.0,0.0,0.00191685,-0.384647,-1.0,-0.113638,0.171287,0.416166,2549.2,54.4,58.8,389.1,100.0,1.0
14391,90,156,-3.655229,0.277479,-0.270302,0.0,0.0,0.00159234,-0.462725,-1.0,-0.41337,0.113523,0.555606,3300.9,74.1,61.4,715.6,100.0,1.0
14555,91,164,-2.9452,1.0,-0.391123,0.008985,0.0,0.00208914,-0.515685,-1.0,-0.820637,0.05243,0.509858,2867.4,68.1,55.1,600.9,100.0,1.0
14713,92,158,-3.500454,0.71064,0.721309,0.006416,0.0,0.00234571,-0.577214,-1.0,-0.176812,-0.284064,0.550552,2088.0,72.9,67.0,629.7,100.0,1.0
14873,93,160,5.012403,0.2,-0.212926,0.000468,0.016739,0.00198809,-0.023557,-0.83135,0.35117,0.918601,0.446061,4452.6,58.0,66.6,615.8,100.0,1.0
15029,94,156,5.590535,0.41453,-0.10414,0.007332,0.0,0.00213254,-0.004763,-0.638235,-0.072826,0.931443,0.500513,5188.3,67.2,50.7,616.5,100.0,1.0
15187,95,158,2.271068,0.528761,-0.207432,0.0,0.0,0.00163344,-0.124831,-0.944554,0.287735,0.755459,0.437108,4021.2,57.3,60.4,514.4,100.0,1.0
15350,96,163,2.651198,0.2,-0.245583,0.0,0.043169,0.00159025,-0.104283,-0.756122,0.062779,0.732551,0.511558,4739.2,68.4,54.8,850.0,100.0,1.0
15507,97,157,7.677377,0.35032,-0.114569,0.021037,2e-06,0.00220071,0.101028,-0.430307,0.133159,1.0,0.558401,5980.5,73.5,73.7,460.2,100.0,1.0
15669,98,162,-1.620514,0.302566,-0.403649,0.003055,0.013621,0.00192631,-0.40663,-1.0,-0.54331,0.263847,0.473227,3134.9,62.0,65.2,672.7,100.0,1.0
15828,99,159,1.530217,0.805387,-0.278684,0.0,0.0,0.00172045,-0.184163,-0.807021,0.094107,0.564418,0.54331,4545.2,72.6,58.1,547.0,100.0,1.0
15991,100,163,-0.717353,0.436254,-0.328501,0.007248,0.0,0.00178566,-0.332469,-1.0,-0.192506,0.349808,0.428253,3034.6,56.2,58.0,911.6,100.0,1.0
16151,101,160,-2.744714,0.2,-0.339047,0.000985,0.092547,0.00191893,-0.466163,-1.0,-0.437675,0.088865,0.517492,3022.0,69.4,53.0,571.9,100.0,1.0
16318,102,167,-0.897138,0.2,-0.400234,0.009789,0.174908,0.00180567,-0.353066,-1.0,-0.521101,0.424079,0.496918,3704.5,65.0,69.5,668.0,100.0,1.0
16477,103,159,-4.022323,1.0,0.723623,0.0,0.0,0.0022034,-0.675087,-1.0,-1.0,-0.337118,0.535482,1917.1,72.3,49.0,387.2,100.0,1.0
16637,104,160,9.828417,0.616224,-0.087124,0.0,0.0,0.00202921,0.243996,-0.305015,0.909206,1.0,0.450847,6457.9,57.7,77.9,448.9,100.0,1.0
16803,105,166,-1.325572,0.373795,-0.246732,0.012099,3.4e-05,0.00157112,-0.337004,-1.0,-0.185778,0.37877,0.504979,3685.0,66.8,62.1,873.3,100.0,1.0
16970,106,167,9.56403,0.62719,-0.013921,0.011025,0.0,0.0022155,0.18193,-0.367695,0.6436,1.0,0.518684,6219.1,69.6,52.7,352.8,100.0,1.0
17127,107,157,-4.571401,0.799465,0.701557,0.000982,0.0,0.00195125,-0.57044,-1.0,-0.944034,-0.122112,0.416488,1867.6,53.2,73.7,534.7,100.0,1.0
17290,108,163,8.101086,0.539495,-0.223492,0.003062,0.0,0.0021441,0.117768,-0.618135,0.798328,1.0,0.478587,5264.9,63.1,61.2,383.7,100.0,1.0
17456,109,166,-1.943154,0.716982,-0.328343,0.004912,0.0,0.00200531,-0.444938,-1.0,-0.91756,0.208142,0.380159,2312.2,47.8,75.4,483.2,100.0,1.0
17618,110,162,-3.906257,0.292388,0.609497,0.017989,0.042467,0.0021796,-0.679255,-1.0,-1.0,-0.353876,0.52699,1806.7,69.9,62.7,559.5,100.0,1.0
17774,111,156,3.070037,0.522377,-0.222526,0.015428,0.0,0.00209236,-0.149074,-1.0,-0.339484,0.886453,0.376924,3708.0,49.1,54.9,451.9,100.0,1.0
17936,112,162,0.834056,1.0,-0.333707,0.0,0.0,0.00234511,-0.3318,-1.0,-0.578126,0.439202,0.388541,2814.9,48.9,77.1,343.9,100.0,1.0
18091,113,155,6.506387,0.440846,-0.164936,0.007788,0.0,0.00203832,0.058821,-0.858894,0.944114,1.0,0.424889,4347.6,54.0,78.0,464.9,100.0,1.0
18249,114,158,-2.477767,0.433815,-0.429867,0.002725,0.0,0.00184424,-0.434123,-1.0,-0.341683,0.109768,0.44187,2555.4,57.6,64.9,656.5,100.0,1.0
18410,115,161,-0.294412,0.2,-0.508999,0.002545,0.0,0.00258302,-0.43375,-1.0,-0.166603,0.094063,0.500059,2882.1,65.9,65.1,434.8,100.0,1.0
18568,116,158,-4.946009,0.2,-0.458688,0.001121,0.0,0.00184216,-0.633736,-1.0,-0.967745,-0.264835,0.471345,1866.7,63.5,45.0,810.6,100.0,1.0
18733,117,165,6.214636,0.492807,-0.177786,0.01368,0.0,0.00188306,0.047653,-0.647549,0.822609,0.847457,0.522879,5152.8,69.7,58.0,590.9,100.0,1.0
18897,118,164,-4.33375,0.602853,0.715951,0.016251,0.0,0.00200958,-0.695162,-1.0,-1.0,-0.462752,0.415995,1173.3,54.6,56.4,455.8,100.0,1.0
19055,119,158,-3.060855,0.987272,0.638276,0.0,0.0,0.00256099,-0.782196,-1.0,-1.0,-0.648739,0.52569,993.6,70.7,51.1,405.0,100.0,1.0
19211,120,156,2.334519,0.340874,-0.214218,0.0,0.0,0.00194033,-0.167479,-0.882793,-0.250314,0.738533,0.459786,4256.6,61.2,52.2,561.9,100.0,1.0
19373,121,162,4.837123,0.386269,-0.15404,0.003179,7e-06,0.00186823,-0.023215,-0.603151,0.156996,0.806022,0.549598,5322.0,73.7,56.5,735.5,100.0,1.0
19533,122,160,-0.791496,0.627203,-0.344231,0.0,0.0,0.00175901,-0.32671,-1.0,-0.106498,0.354209,0.450168,3194.1,59.0,62.4,506.5,100.0,1.0
19687,123,154,-1.44091,0.345761,0.722072,0.003174,5e-05,0.0024901,-0.466868,-1.0,-0.413502,0.036982,0.442308,2386.6,57.5,65.9,275.5,100.0,1.0
19846,124,159,-0.836463,1.0,-0.499299,0.003824,0.0,0.00217489,-0.393941,-1.0,-0.198669,0.184737,0.443663,2821.5,59.5,44.8,364.9,100.0,1.0
20008,125,162,-3.718714,1.0,-0.370113,0.020415,0.0,0.00194634,-0.529728,-1.0,-0.611409,-0.089286,0.436686,2017.6,55.4,81.6,685.4,100.0,1.0
20165,126,157,-4.211346,0.2,-0.370973,0.011722,0.0,0.00195169,-0.549193,-1.0,-0.89734,-0.019028,0.513998,2673.4,68.1,61.8,470.7,100.0,1.0
20321,127,156,7.8036,0.334081,-0.108601,0.000337,0.000149,0.00202144,0.134006,-0.534467,0.598475,1.0,0.443889,5583.7,58.3,59.3,585.5,100.0,1.0
20481,128,160,-2.49354,0.534148,0.67499,0.001502,0.0,0.00271999,-0.589645,-1.0,-0.715643,-0.207751,0.476839,1962.6,61.9,72.2,309.3,100.0,1.0
20642,129,161,2.68689,0.2,-0.314768,0.012725,0.04991,0.00184435,-0.141808,-0.911638,0.553187,0.623208,0.48088,4146.7,63.9,56.4,580.8,100.0,1.0
20805,130,163,-5.072029,0.495323,0.649654,0.006509,0.0,0.00175888,-0.748144,-1.0,-1.0,-0.552158,0.524442,1247.4,69.6,61.7,835.9,100.0,1.0
20969,131,164,-1.801574,1.0,-0.346031,0.002649,0.0,0.00197601,-0.427759,-1.0,-0.319817,0.167662,0.522297,3184.5,68.2,75.1,466.2,100.0,1.0
21137,132,168,-4.20322,0.298636,-0.379917,0.004651,0.0,0.00147803,-0.490154,-1.0,-0.408862,0.030778,0.550197,2959.1,71.8,79.7,560.4,100.0,1.0
21298,133,161,-2.635175,0.2,0.682047,0.032235,0.0,0.00252009,-0.558773,-1.0,-0.437031,-0.151246,0.560669,2573.2,75.8,50.2,354.5,100.0,1.0
21462,134,164,-3.942537,0.610554,-0.352186,0.000308,0.0,0.00183605,-0.52867,-1.0,-0.638711,-0.00463,0.565894,3016.2,75.8,59.3,632.1,100.0,1.0
21619,135,157,-4.609505,0.490145,0.765872,0.001743,0.0,0.00187706,-0.560835,-1.0,-0.422937,-0.178687,0.530004,2317.0,70.5,60.5,558.2,100.0,1.0
21772,136,153,-4.844118,0.481539,0.659057,0.00165,6.8e-05,0.00196349,-0.639988,-1.0,-1.0,-0.286315,0.44889,1697.4,59.5,54.4,602.0,100.0,1.0
21931,137,159,-2.04177,0.2,-0.331937,0.004703,0.064439,0.00168082,-0.384971,-1.0,-0.434859,0.273875,0.436707,2901.0,56.9,63.6,1253.6,100.0,1.0
22091,138,160,3.324775,0.433523,-0.248066,0.014399,0.0,0.0021161,-0.146694,-0.916356,0.211562,0.701099,0.462553,4128.7,60.7,63.0,478.9,100.0,1.0
22252,139,161,-1.116331,0.2,-0.351614,0.001938,0.0,0.00176527,-0.348254,-1.0,0.270322,0.243296,0.5522,3650.4,73.4,64.0,578.5,100.0,1.0
22409,140,157,-3.254618,0.2,-0.423341,0.0,0.0,0.00175693,-0.46293,-1.0,-0.642201,0.119828,0.453247,2758.9,61.6,36.8,569.8,100.0,1.0
22571,141,162,-1.632143,0.2,-0.339767,0.006243,0.645856,0.00205016,-0.426289,-1.0,-0.351887,0.165101,0.494431,3136.7,67.3,38.8,608.1,100.0,1.0
22731,142,160,-2.719422,-0.089911,-0.456916,0.003154,0.0,0.0019115,-0.462176,-1.0,-0.691556,0.115992,0.418087,2485.1,55.7,47.3,502.2,100.0,1.0
22886,143,155,-1.336203,0.2,0.6,0.001595,0.35,0.00322599,-0.710885,-1.0,-0.941634,-0.509691,0.441648,1167.1,59.5,41.8,318.0,100.0,1.0
