episode,timestep,ep_length,cum_reward,w_yield,w_neff,w_water,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,critic_loss,actor_loss
68,10884,159,0.3172,0.1244,0.2602,0.6154,1.0,-0.9353,-0.226,11590.5,4478.6,490.4,606.1,0.083019,
69,11043,159,0.1782,0.4656,0.2981,0.2363,0.6066,-0.9393,-1.0,9931.1,4090.1,990.3,427.5,0.001147,0.68234
70,11201,158,0.2784,0.4289,0.2799,0.2912,0.9646,-0.9369,-1.0,11295.3,4473.8,1049.9,597.6,0.001971,0.663461
71,11362,161,-0.3971,0.3735,0.584,0.0424,-0.6002,-0.9441,-1.0,5333.2,2387.2,965.6,536.8,0.000773,
72,11521,159,1.1443,1.0,0.0,0.0,0.7149,-0.9448,-1.0,10343.7,4687.9,907.3,690.9,0.011097,0.680194
73,11680,159,0.1181,0.314,0.0888,0.5971,-0.6146,-0.9653,-0.2219,5278.2,3807.3,488.8,366.1,0.001494,
74,11838,158,-0.1014,0.1946,0.4599,0.3456,0.96,-0.9164,-0.9629,11277.5,3370.5,785.1,549.1,0.001817,
75,11994,156,-0.424,0.0454,0.5757,0.3789,0.1583,-0.9144,-1.0,8223.2,2402.5,828.9,758.1,0.001463,
76,12145,151,0.4106,0.4412,0.4503,0.1085,1.0,-0.9211,-1.0,12046.8,3819.3,888.6,247.5,0.007091,0.657947
77,12310,165,0.0423,0.3798,0.4163,0.2039,0.3644,-0.9294,-0.9839,9008.3,3191.4,793.6,770.9,0.006337,
78,12475,165,0.0887,0.3037,0.2798,0.4165,1.0,-0.9239,-1.0,12273.6,4031.0,830.2,476.6,0.002223,0.666475
79,12637,162,0.4947,0.5631,0.2007,0.2362,1.0,-0.9336,-1.0,11856.2,4467.3,2286.4,522.9,0.00534,0.652334
80,12791,154,0.2428,0.4406,0.3147,0.2447,1.0,-0.9349,-1.0,12694.6,4872.9,1916.5,338.6,0.010277,0.643179
81,12959,168,0.8049,0.7367,0.1227,0.1406,1.0,-0.9465,-1.0,11900.7,5564.9,2488.1,544.1,0.00132,0.640663
82,13121,162,0.2286,0.4012,0.411,0.1878,1.0,-0.9271,-1.0,12018.3,4124.1,1442.0,701.4,0.011322,0.630359
83,13278,157,0.5741,0.2548,0.0371,0.7081,0.0318,-0.9619,-0.0966,7741.1,5082.0,438.7,249.4,0.005834,
84,13433,155,-0.4937,0.0586,0.5511,0.3903,0.4877,-0.9199,-1.0,9478.3,2958.4,1205.7,664.9,0.005391,0.635417
85,13594,161,-0.039,0.0,1.0,0.0,-0.4804,-0.2162,-1.0,5789.6,184.7,1237.9,770.1,0.008962,
86,13755,161,0.6277,0.673,0.2477,0.0793,0.7998,-0.9352,-1.0,10667.4,4118.6,1338.7,941.7,0.007345,0.591715
87,13912,157,0.8298,0.7327,0.1114,0.1559,1.0,-0.9393,-1.0,11438.7,4715.0,1542.2,251.6,0.003141,
88,14074,162,-0.4578,0.052,0.4562,0.4918,0.8788,-0.931,-1.0,10968.2,3975.7,1009.8,394.2,0.001398,
89,14235,161,0.4518,0.1467,0.1502,0.7032,0.7672,-0.9438,-0.1756,10543.0,4685.9,470.3,389.1,0.001503,0.598296
90,14391,156,-0.2092,0.0283,0.7852,0.1865,1.0,-0.5986,-1.0,12359.1,769.7,1126.9,715.6,0.006358,0.592745
