episode,timestep,ep_length,cum_reward,w_yield,w_neff,w_water,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,critic_loss,actor_loss
112,17936,162,0.1418,0.3412,0.3827,0.2761,1.0,-0.9212,-1.0,11990.9,3802.8,1173.6,343.9,0.000974,
113,18091,155,0.793,0.1145,0.1874,0.6981,0.4311,-0.958,0.3307,9262.6,5510.7,267.7,464.9,0.005633,0.263609
114,18249,158,0.5555,0.4319,0.0239,0.5442,0.8269,-0.9351,-0.508,10770.4,4145.7,603.2,656.5,0.001511,0.254702
115,18410,161,0.6957,0.6729,0.0262,0.301,0.8707,-0.9362,-1.0,10937.4,4284.8,956.4,434.8,0.006319,
116,18568,158,-0.1202,0.2329,0.3511,0.4159,0.8324,-0.9411,-1.0,10791.4,4583.3,812.0,810.6,0.000807,
117,18733,165,0.1932,0.1039,0.2961,0.6,1.0,-0.9369,-0.3179,12266.4,4856.8,527.1,590.9,0.00341,0.294073
118,18897,164,1.1857,0.9321,0.0308,0.0371,0.8679,-0.9523,-1.0,10926.7,5723.0,1032.9,455.8,0.01127,0.263438
119,19055,158,-0.3583,0.4462,0.3245,0.2293,-0.5958,-0.9659,-1.0,5349.9,3922.8,1101.6,405.0,0.00559,0.263072
120,19211,156,0.0037,0.2846,0.3316,0.3838,1.0,-0.9133,-1.0,11641.8,3355.6,1038.8,561.9,0.000708,0.258128
121,19373,162,0.3132,0.4622,0.4193,0.1185,0.8577,-0.9125,-1.0,10887.9,3110.7,1274.3,735.5,0.001181,0.266187
122,19533,160,-0.0803,0.0649,0.9003,0.0348,-0.6445,-0.2315,-1.0,5164.3,168.0,1132.2,506.5,0.004806,0.276036
123,19687,154,-0.0521,0.0413,0.408,0.5508,1.0,-0.9202,-0.5004,11972.4,3750.6,600.1,275.5,0.000557,0.258622
124,19846,159,0.486,0.1102,0.2275,0.6623,0.47,-0.9354,-0.0545,9410.7,3644.7,421.8,364.9,0.000673,
125,20008,162,0.5228,0.5146,0.4326,0.0528,1.0,-0.9165,-1.0,11693.7,3501.7,1084.4,685.4,0.01541,
126,20165,157,0.5054,0.5151,0.3285,0.1564,1.0,-0.9214,-1.0,11690.7,3717.4,878.1,470.7,0.004919,0.263676
127,20321,156,1.0462,0.2031,0.0405,0.7564,0.7028,-0.9496,0.347,10297.8,5104.2,261.2,585.5,0.004377,0.24284
128,20481,160,0.2516,0.4316,0.1029,0.4656,0.8127,-0.9436,-0.9729,10716.3,4752.5,789.2,309.3,0.003855,0.252402
129,20642,161,0.5089,0.5249,0.1552,0.3199,1.0,-0.933,-1.0,12647.1,4716.4,891.8,580.8,0.003676,
130,20805,163,0.2667,0.1108,0.2424,0.6468,0.0783,-0.9646,-0.0065,7918.5,5598.3,402.6,835.9,0.000669,0.246552
131,20969,164,0.8355,0.671,0.0511,0.2779,1.0,-0.9388,-1.0,12372.1,5053.7,1023.9,466.2,0.008978,0.269856
132,21137,168,-0.3383,0.1059,0.3825,0.5115,0.601,-0.935,-1.0,9909.9,3808.7,840.5,560.4,0.003158,0.243084
133,21298,161,0.359,0.4506,0.177,0.3724,1.0,-0.9364,-1.0,12758.0,5013.1,952.1,354.5,0.004343,
134,21462,164,1.0335,0.7926,0.1686,0.0388,1.0,-0.9121,-1.0,12135.9,3449.7,1009.2,632.1,0.000497,
