==============================================================================
SIMPLE PPO — CONFIGURATION
==============================================================================
  Environment
    mode                 all
    random_weather       True
    enable_faults        False
    dssat_seed           123

  PPO Hyperparameters
    total_timesteps      1,000,000
    n_steps              4,096
    batch_size           64
    n_epochs             10
    learning_rate        0.0003
    gamma                0.99
    gae_lambda           0.95
    clip_range           0.2
    ent_coef             0.01
    max_grad_norm        0.5
    device               cpu

  Normalisation (VecNormalize)
    norm_obs             True
    norm_reward          True
    clip_obs             5.0
    clip_reward          10.0

  Reward Weights (seasonal)
    W_yield              0.40
    W_hiad               0.10
    W_ane                0.30
    W_penalty            0.20
==============================================================================

==============================================================================
TRAINING — 1,000,000 timesteps  |  n_steps=4096
==============================================================================

  Episode log  → /workspace/episode_log_nitrogen_v2.csv
  Metrics log  → /workspace/training_metrics_nitrogen_v2.csv

     ep      step   len    cum_R   yield      N      W   R_seas    R_yld   R_hiad    R_ane
    223     35587   166   +2.532    3326     63     49  -0.1602  -1.0000  -0.0129  +0.3167
    224     35751   164   +3.235    3193     51     42  -0.0359  -1.0000  -0.4190  +0.5616
    225     35912   161   +4.256    2759     46     75  -0.0720  -1.0000  -0.4561  +0.4865
    226     36077   165   +4.387    3469     55     44  -0.0250  -1.0000  -0.1224  +0.5688
    227     36235   158   +2.779    1980     42     75  -0.2289  -1.0000  -0.7902  +0.1894
    228     36392   157   +3.602    2703     48     66  -0.1218  -1.0000  -0.7781  +0.4203
    229     36551   159   +1.808    3147     63     53  -0.2215  -1.0000  -0.6452  +0.2566
    230     36707   156   +6.505    3402     51     40  +0.0377  -1.0000  -0.1340  +0.6782
    231     36870   163   +3.603    3183     56     45  -0.1279  -1.0000  -0.6600  +0.4200
    232     37032   162   +8.854    3069     42     44  +0.1206  -1.0000  -0.2351  +0.8252
    233     37187   155   -1.259    1934     53     49  -0.3737  -1.0000  -0.6455  -0.0834
    234     37352   165   +3.816    2557     47     46  -0.1373  -1.0000  -0.6774  +0.3702
    235     37512   160   +8.911    3018     40     59  +0.1574  -1.0000  -0.3314  +0.9044
    236     37671   159   +3.043    2413     43     46  -0.1022  -1.0000  -0.3845  +0.3989
    237     37829   158   -0.697    1755     43     66  -0.3101  -1.0000  -0.7853  +0.0274
    238     37985   156   +1.135    1886     39     60  -0.2148  -1.0000  -1.0000  +0.2231
    239     38148   163   +6.069    2967     43     58  +0.0683  -1.0000  -0.3685  +0.7400
    240     38311   163   +9.104    4149     56     53  +0.1156  -0.9111  -0.4636  +0.8538
    241     38475   164   +5.888    3224     50     59  +0.0170  -1.0000  -0.0291  +0.6280
    242     38639   164   +8.383    2938     35     77  +0.2158  -1.0000  -0.2274  +1.0000
    243     38804   165   +2.847    2239     46     69  -0.2218  -1.0000  -0.6633  +0.2058
    244     38966   162  +11.875    4502     46     54  +0.2624  -0.8185  +0.2950  +1.0000
    245     39122   156  +11.394    3876     46     49  +0.2169  -0.9826  +0.0181  +1.0000
    246     39284   162   -0.124    2242     56     68  -0.3505  -1.0000  -0.9635  +0.0100
    247     39444   160   +0.768    2374     49     48  -0.2375  -1.0000  -0.9570  +0.2072
    248     39609   165   -1.875    1640     45     48  -0.3744  -1.0000  -0.8671  -0.0900
    249     39771   162   +1.217    1867     50     57  -0.3676  -1.0000  -0.7275  -0.0697
    250     39932   161   +9.405    3175     40     50  +0.1931  -1.0000  -0.2933  +0.9714
    251     40091   159   +0.419    1610     40     82  -0.3217  -1.0000  -1.0000  +0.0192
    252     40243   152   +6.864    2980     44     58  +0.0946  -1.0000  +0.6603  +0.6943
    253     40406   163   +9.561    4150     55     55  +0.1541  -0.9108  -0.0351  +0.8851
    254     40560   154   +5.621    2318     38     73  +0.0024  -1.0000  +0.1110  +0.5467
    255     40716   156   +6.571    3797     54     59  +0.0688  -1.0000  -0.0054  +0.7461
    256     40882   166   +1.535    2480     56     67  -0.2817  -1.0000  -0.4385  +0.0981
    257     41043   161   +7.450    2498     36     50  +0.1342  -1.0000  +0.5206  +0.7560
    258     41197   154   +4.788    2567     46     31  -0.1019  -1.0000  -0.4598  +0.4107
    259     41354   157   +8.463    2530     34     61  +0.1403  -1.0000  -0.3530  +0.8535
    260     41515   161  +11.102    3736     43     53  +0.2151  -1.0000  -0.0444  +1.0000
    261     41672   157   +8.775    3219     43     47  +0.1571  -1.0000  -0.1382  +0.8910
    262     41836   164  +12.514    4097     34     67  +0.2638  -0.9246  +0.3750  +1.0000
    263     41992   156   +5.154    2165     37     67  -0.0526  -1.0000  -0.2670  +0.4704
    264     42158   166   +8.012    3690     50     67  +0.1164  -1.0000  -0.3213  +0.8589
    265     42318   160   +1.980    2411     48     51  -0.1995  -1.0000  -0.7716  +0.2607
    266     42482   164   +9.123    3193     39     61  +0.2082  -1.0000  -0.2922  +1.0000
    267     42639   157   +7.820    2552     35     70  +0.1155  -1.0000  -0.4789  +0.8224
    268     42802   163  +11.730    4890     58     46  +0.2683  -0.7165  +0.4015  +1.0000
    269     42963   161  +11.405    3216     34     62  +0.2086  -1.0000  -0.4441  +1.0000
    270     43118   155   +1.464    2537     53     60  -0.2271  -1.0000  -0.4257  +0.1925
    271     43279   161   -3.998    1505     48     38  -0.4453  -1.0000  -1.0000  -0.2121
    272     43440   161   +9.739    2551     38     82  +0.0351  -1.0000  -0.7004  +0.6966
    273     43599   159   -2.641    1243     42     51  -0.4613  -1.0000  -0.8977  -0.2688
    274     43760   161   +0.020    2029     51     56  -0.3141  -1.0000  -0.2215  -0.0101
    275     43921   161   +4.927    2189     36     83  -0.0266  -1.0000  -0.4760  +0.5435
    276     44079   158   +1.095    1953     43     44  -0.2517  -1.0000  -0.8444  +0.1436
    277     44235   156   +4.916    2214     38     73  -0.0836  -1.0000  -0.8118  +0.4678
    278     44402   167   +9.745    3886     44     34  +0.2297  -0.9800  +0.1512  +1.0000
    279     44566   164  +11.563    3784     46     83  +0.2038  -1.0000  -0.0696  +1.0000
    280     44725   159   +2.814    2549     44     30  -0.0919  -1.0000  -0.5831  +0.4387
    281     44881   156   +5.927    2765     43     61  +0.0356  -1.0000  +0.4366  +0.5974
    282     45033   152  +11.422    3886     35     55  +0.2489  -0.9800  +0.3021  +1.0000
