====================================================================
12_capql_train_robust.py  —  CAPQL-Robust  (GRU + fault training)
====================================================================
  Obs dim  : 19  (crop + mask + w)
  Actor    : GRU(19→256) + Linear(256→2)
  Critic   : MLP  (21→256→256→1)
  Steps    : 1,000,000
  Seq len  : 16  (burn-in 4,  grad steps/ep 8)
  Aug λ    : 0.5
  Fault mix: 60% clean | 10% dropout | 10% packet | 10% stuck | 5% N-act | 5% W-act
====================================================================

      ep     steps    R_yld    R_ane    R_wef    yield                   w
  ────────────────────────────────────────────────────────────────────────
  Collecting first episodes... (first log line appears at ep 10)

    1250   199,369   -0.158   -0.452   -1.000     7019  [0.00,1.00,0.00]  ETA 105.2m
    1260   200,974   +0.541   -0.992   -0.177     9681  [0.00,0.00,1.00]  ETA 105.0m
    1270   202,563   +0.689   -0.778   -1.000    10244  [0.01,0.81,0.18]  ETA 104.8m
    1280   204,177   +0.913   -0.975   -1.000    11100  [0.00,0.42,0.58]  ETA 104.6m
    1290   205,780   +0.929   -0.985   -1.000    11159  [0.56,0.24,0.20]  ETA 104.4m
    1300   207,365   +0.335   -0.990   -1.000     8898  [0.58,0.15,0.27]  ETA 104.1m
    1310   208,960   +0.138   -0.360   -1.000     8147  [0.00,1.00,0.00]  ETA 103.9m
    1320   210,587   +1.000   -0.983   -1.000    11485  [0.04,0.28,0.68]  ETA 103.7m
    1330   212,192   +0.435   -0.993   -0.237     9277  [0.00,0.00,1.00]  ETA 103.5m
    1340   213,777   +1.000   -0.966   -1.000    12486  [0.41,0.47,0.12]  ETA 103.3m
    1350   215,351   +0.952   -0.974   -1.000    11246  [0.03,0.41,0.55]  ETA 103.2m
    1360   216,950   +0.965   -0.991   -1.000    11296  [1.00,0.00,0.00]  ETA 102.9m
    1370   218,555   +1.000   -0.975   -1.000    11948  [0.07,0.39,0.53]  ETA 102.8m
    1380   220,154   +1.000   -0.965   -1.000    11943  [0.22,0.48,0.30]  ETA 102.6m
    1390   221,736   +0.693   -0.957   -1.000    10260  [0.05,0.57,0.39]  ETA 102.3m
    1400   223,317   +1.000   -0.976   -1.000    12539  [0.46,0.35,0.19]  ETA 102.2m
    1410   224,932   +0.669   -0.983   -1.000    10170  [0.32,0.34,0.34]  ETA 102.0m
    1420   226,529   -1.000   -1.000   -1.000     1432  [0.00,1.00,0.00]  ETA 101.7m
    1430   228,121   +1.000   -0.919   -1.000    12056  [0.28,0.66,0.07]  ETA 101.5m
    1440   229,724   +0.959   -0.977   -1.000    11276  [0.44,0.40,0.16]  ETA 101.3m
    1450   231,328   +1.000   -0.912   -1.000    12162  [0.07,0.67,0.26]  ETA 101.1m
    1460   232,934   +0.072   -0.398   -1.000     7895  [0.03,0.95,0.02]  ETA 100.9m
    1470   234,553   +0.115   -0.994   -1.000     8058  [1.00,0.00,0.00]  ETA 100.7m
    1480   236,137   +0.139   -0.363   -1.000     8149  [0.04,0.95,0.02]  ETA 100.4m
    1490   237,742   +0.859   -0.817   -1.000    10894  [0.01,0.78,0.21]  ETA 100.2m
    1500   239,339   +0.379   -0.991   -0.170     9064  [0.08,0.10,0.83]  ETA 100.0m
    1510   240,832   +0.286   -0.993   -0.215     8710  [0.03,0.03,0.94]  ETA 99.8m
    1520   242,426   -0.127   -0.425   -1.000     7135  [0.00,1.00,0.00]  ETA 99.7m
    1530   244,037   +1.000   -0.985   -1.000    13209  [0.16,0.16,0.67]  ETA 99.4m
    1540   245,646   +0.995   -0.991   -0.200    11413  [0.00,0.00,1.00]  ETA 99.2m
    1550   247,242   +0.948   -0.991   -1.000    11231  [0.99,0.01,0.01]  ETA 99.0m
    1560   248,830   +0.988   -0.940   -1.000    11385  [0.08,0.62,0.30]  ETA 98.8m
    1570   250,427   +0.859   -0.979   -1.000    10891  [0.22,0.36,0.41]  ETA 98.5m
    1580   252,023   +0.113   -0.397   -1.000     8051  [0.00,1.00,0.00]  ETA 98.3m
    1590   253,611   +0.475   -0.989   -1.000     9429  [0.67,0.20,0.14]  ETA 98.1m
    1600   255,200   +0.910   -0.991   -1.000    11087  [0.90,0.03,0.07]  ETA 97.9m
    1610   256,823   +0.949   -0.990   -1.000    11237  [0.65,0.06,0.29]  ETA 97.7m
    1620   258,442   +1.000   -0.986   -1.000    11942  [0.37,0.18,0.45]  ETA 97.5m
    1630   260,040   +1.000   -0.990   -1.000    12406  [1.00,0.00,0.00]  ETA 97.2m
    1640   261,632   +0.947   -0.980   -1.000    11228  [0.43,0.34,0.23]  ETA 97.1m
    1650   263,215   +0.554   -0.399   -1.000     9730  [0.03,0.88,0.09]  ETA 96.9m
    1660   264,805   +0.699   -0.951   -1.000    10281  [0.25,0.59,0.16]  ETA 96.7m
    1670   266,415   +0.731   -0.988   -1.000    10406  [0.52,0.19,0.29]  ETA 96.4m
