timestep,episode,ep_length,cum_reward,R_water,R_fert,R_resource,R_losses,R_daily_mean,R_seasonal,R_yield,R_hiad,R_ane,R_penalty,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,energy_budget,comm_quality
16318,102,167,3.228678,0.2,-0.403721,0.008856,0.173668,0.00179245,-0.127573,-1.0,-0.53045,0.438739,0.481678,3626.1,63.0,67.7,668.0,100.0,1.0
16477,103,159,-3.238786,1.0,0.724329,0.0,0.0,0.00219092,-0.520467,-1.0,-1.0,-0.281769,0.518331,2004.7,69.8,49.8,387.2,100.0,1.0
16637,104,160,13.002409,0.615064,-0.104098,0.0,0.0,0.0020209,0.366487,-0.355397,0.902136,1.0,0.430161,6265.9,54.9,76.3,448.9,100.0,1.0
16803,105,166,2.277611,0.367759,-0.266337,0.011255,3.6e-05,0.00157029,-0.139489,-1.0,-0.243379,0.383633,0.476546,3472.6,62.7,62.2,873.3,100.0,1.0
16970,106,167,13.080509,0.598182,-0.034688,0.010339,0.0,0.00223474,0.319856,-0.43334,0.597833,1.0,0.493472,5969.0,65.9,53.8,352.8,100.0,1.0
17127,107,157,-1.780766,0.780671,0.689483,0.000969,0.0,0.00195205,-0.400775,-1.0,-0.944138,-0.105946,0.402382,1831.6,51.2,73.1,534.7,100.0,1.0
17290,108,163,12.046668,0.493148,-0.258762,0.001797,0.0,0.0021163,0.293418,-0.671568,0.785153,1.0,0.446104,5061.3,58.5,61.3,383.7,100.0,1.0
17456,109,166,2.352623,0.70707,-0.326644,0.00417,0.0,0.00199173,-0.205852,-1.0,-0.891681,0.261118,0.367306,2323.6,46.1,74.8,483.2,100.0,1.0
17618,110,162,-3.45744,0.292164,0.609468,0.017697,0.041834,0.00215144,-0.535328,-1.0,-1.0,-0.316779,0.507754,1831.8,67.0,64.3,559.5,100.0,1.0
17774,111,156,8.823529,0.519276,-0.232015,0.014634,0.0,0.00203732,0.150285,-1.0,-0.396913,0.916489,0.352456,3494.5,45.6,55.6,451.9,100.0,1.0
17936,112,162,5.56049,1.0,-0.334651,0.0,0.0,0.00230176,-0.078107,-1.0,-0.561394,0.488401,0.376953,2816.1,47.3,76.4,343.9,100.0,1.0
18091,113,155,10.986388,0.427253,-0.174368,0.006401,2.2e-05,0.00199726,0.272234,-0.891748,0.981821,1.0,0.39403,4222.4,49.7,76.7,464.9,100.0,1.0
18249,114,158,0.943949,0.423263,-0.427212,0.002623,0.0,0.00187175,-0.245661,-1.0,-0.366847,0.152731,0.414734,2473.0,53.6,65.5,656.5,100.0,1.0
18410,115,161,1.755429,0.2,-0.480105,0.001646,0.0,0.00216789,-0.25613,-1.0,-0.183629,0.143941,0.475675,2851.8,62.3,65.7,434.8,100.0,1.0
18568,116,158,-3.143636,0.2,-0.453311,0.000903,0.0,0.00186931,-0.461959,-1.0,-0.953975,-0.211577,0.433886,1828.1,58.0,46.8,810.6,100.0,1.0
18733,117,165,10.49199,0.527529,-0.193265,0.012458,0.0,0.00189231,0.243059,-0.688835,0.817504,0.924456,0.489111,4995.5,64.9,58.1,590.9,100.0,1.0
18897,118,164,-4.066774,0.572148,0.71274,0.016116,0.0,0.00193379,-0.54941,-1.0,-1.0,-0.40213,0.393379,1226.2,51.3,57.4,455.8,100.0,1.0
19055,119,158,-2.616742,0.992202,0.639939,0.0,0.0,0.00250296,-0.670483,-1.0,-1.0,-0.596884,0.488165,1050.8,65.2,53.3,405.0,100.0,1.0
19211,120,156,7.402003,0.335964,-0.214877,0.0,0.0,0.00191949,0.093535,-0.91741,-0.259401,0.796742,0.433538,4124.7,57.4,53.0,561.9,100.0,1.0
19373,121,162,8.376899,0.44802,-0.166722,0.003011,0.0,0.0018353,0.146935,-0.665763,0.10111,0.812285,0.524439,5083.4,70.1,55.9,735.5,100.0,1.0
19533,122,160,3.227374,0.612424,-0.338315,0.0,0.0,0.0017473,-0.10839,-1.0,-0.133297,0.408488,0.423875,3108.8,55.2,62.7,506.5,100.0,1.0
19687,123,154,1.155303,0.339126,-0.479739,0.002387,4.9e-05,0.00222243,-0.281194,-1.0,-0.41178,0.089769,0.421957,2378.7,54.6,66.6,275.5,100.0,1.0
19846,124,159,2.778302,1.0,-0.489696,0.003698,0.0,0.00211414,-0.189126,-1.0,-0.209769,0.249084,0.412717,2748.1,55.0,46.2,364.9,100.0,1.0
20008,125,162,-0.775027,1.0,-0.378816,0.019718,0.0,0.00195292,-0.357332,-1.0,-0.59998,-0.047237,0.414858,1994.1,52.3,81.0,685.4,100.0,1.0
20165,126,157,-0.750568,0.2,-0.364939,0.011082,0.0,0.00196518,-0.348081,-1.0,-0.866522,0.036447,0.491914,2690.6,64.9,62.7,470.7,100.0,1.0
20321,127,156,12.079161,0.39715,-0.107397,0.000147,6.2e-05,0.00199886,0.326143,-0.532383,0.748272,1.0,0.419177,5591.6,54.8,59.6,585.5,100.0,1.0
20481,128,160,-0.369155,0.533234,0.674804,0.001482,0.0,0.00257258,-0.431854,-1.0,-0.68795,-0.165494,0.45884,1980.8,59.3,72.4,309.3,100.0,1.0
20642,129,161,6.824013,0.2,-0.324739,0.011441,0.048659,0.00182882,0.066556,-0.993992,0.45365,0.699452,0.428219,3832.9,56.4,55.9,580.8,100.0,1.0
20805,130,163,-5.064938,0.468904,0.648036,0.006652,1e-06,0.00161769,-0.615551,-1.0,-1.0,-0.496184,0.469835,1244.2,61.7,62.8,835.9,100.0,1.0
