==============================================================================
SIMPLE PPO — CONFIGURATION
==============================================================================
  Environment
    mode                 all
    random_weather       True
    enable_faults        False
    dssat_seed           123

  PPO Hyperparameters
    total_timesteps      1,000,000
    n_steps              4,096
    batch_size           64
    n_epochs             10
    learning_rate        0.0003
    gamma                0.99
    gae_lambda           0.95
    clip_range           0.2
    ent_coef             0.01
    max_grad_norm        0.5
    device               cpu

  Normalisation (VecNormalize)
    norm_obs             True
    norm_reward          True
    clip_obs             5.0
    clip_reward          10.0

  Reward Weights (seasonal)
    W_yield              0.40
    W_hiad               0.10
    W_ane                0.30
    W_penalty            0.20
==============================================================================

==============================================================================
TRAINING — 1,000,000 timesteps  |  n_steps=4096
==============================================================================

  Episode log  → /workspace/episode_log_nitrogen.csv
  Metrics log  → /workspace/training_metrics_nitrogen.csv

     ep      step   len    cum_R   yield      N      W   R_seas    R_yld   R_hiad    R_ane
  ── rolling mean (last 100 ep) ──  cum_R=-1.037  yield=2986 kg/ha  N=64  W=62 mm  R_seas=-0.4105  R_ane=+0.1690

    101     16151   160   -2.745    3022     69     53  -0.4662  -1.0000  -0.4377  +0.0889
    102     16318   167   -0.897    3704     65     70  -0.3531  -1.0000  -0.5211  +0.4241
    103     16477   159   -4.022    1917     72     49  -0.6751  -1.0000  -1.0000  -0.3371
    104     16637   160   +9.828    6458     58     78  +0.2440  -0.3050  +0.9092  +1.0000
    105     16803   166   -1.326    3685     67     62  -0.3370  -1.0000  -0.1858  +0.3788
    106     16970   167   +9.564    6219     70     53  +0.1819  -0.3677  +0.6436  +1.0000
    107     17127   157   -4.571    1868     53     74  -0.5704  -1.0000  -0.9440  -0.1221
    108     17290   163   +8.101    5265     63     61  +0.1178  -0.6181  +0.7983  +1.0000
    109     17456   166   -1.943    2312     48     75  -0.4449  -1.0000  -0.9176  +0.2081
    110     17618   162   -3.906    1807     70     63  -0.6793  -1.0000  -1.0000  -0.3539
    111     17774   156   +3.070    3708     49     55  -0.1491  -1.0000  -0.3395  +0.8865
    112     17936   162   +0.834    2815     49     77  -0.3318  -1.0000  -0.5781  +0.4392
    113     18091   155   +6.506    4348     54     78  +0.0588  -0.8589  +0.9441  +1.0000
    114     18249   158   -2.478    2555     58     65  -0.4341  -1.0000  -0.3417  +0.1098
    115     18410   161   -0.294    2882     66     65  -0.4338  -1.0000  -0.1666  +0.0941
    116     18568   158   -4.946    1867     64     45  -0.6337  -1.0000  -0.9677  -0.2648
    117     18733   165   +6.215    5153     70     58  +0.0477  -0.6475  +0.8226  +0.8475
    118     18897   164   -4.334    1173     55     56  -0.6952  -1.0000  -1.0000  -0.4628
    119     19055   158   -3.061     994     71     51  -0.7822  -1.0000  -1.0000  -0.6487
    120     19211   156   +2.335    4257     61     52  -0.1675  -0.8828  -0.2503  +0.7385
    121     19373   162   +4.837    5322     74     56  -0.0232  -0.6032  +0.1570  +0.8060
    122     19533   160   -0.791    3194     59     62  -0.3267  -1.0000  -0.1065  +0.3542
    123     19687   154   -1.441    2387     58     66  -0.4669  -1.0000  -0.4135  +0.0370
    124     19846   159   -0.836    2822     60     45  -0.3939  -1.0000  -0.1987  +0.1847
    125     20008   162   -3.719    2018     55     82  -0.5297  -1.0000  -0.6114  -0.0893
    126     20165   157   -4.211    2673     68     62  -0.5492  -1.0000  -0.8973  -0.0190
    127     20321   156   +7.804    5584     58     59  +0.1340  -0.5345  +0.5985  +1.0000
