timestep,episode,ep_length,cum_reward,R_water,R_fert,R_resource,R_losses,R_daily_mean,R_seasonal,R_yield,R_hiad,R_ane,R_penalty,yield_kg_ha,total_N_kg_ha,total_W_mm,total_rain_mm,energy_budget,comm_quality
10565,66,160,-3.03066,0.824594,-0.380233,0.0,0.0,0.0013305,-0.352571,-1.0,-0.702591,0.355336,0.396892,2987.6,55.1,62.7,515.9,100.0,1.0
10725,67,160,4.231426,0.2,0.763751,0.0,0.027688,0.00215655,-0.150106,-1.0,0.865169,0.462328,0.358061,3497.7,59.8,55.3,371.3,100.0,1.0
10884,68,159,-4.923986,1.0,-0.394088,0.0,0.0,0.00147847,-0.488093,-1.0,-0.890928,0.104338,0.515147,2416.4,54.7,83.7,606.1,100.0,1.0
11043,69,159,4.906629,0.943399,-0.189852,0.0,0.0,0.00137749,0.007591,-0.73925,0.459059,0.937902,0.38535,4803.5,62.0,59.8,427.5,100.0,1.0
11201,70,158,-5.707322,0.349463,0.701518,0.0,0.000145,0.0012663,-0.555531,-1.0,-0.76915,-0.361458,0.343368,1855.6,72.6,51.0,597.6,100.0,1.0
11362,71,161,-5.862699,0.2,-0.389298,0.006186,0.058404,0.00117778,-0.56631,-1.0,-1.0,-0.190585,0.454671,1696.8,52.4,73.3,536.8,100.0,1.0
11521,72,159,-5.687036,0.831172,-0.497205,0.014826,0.0,0.00125179,-0.497551,-1.0,-0.69483,-0.038677,0.475616,2485.3,64.6,75.4,690.9,100.0,1.0
11680,73,159,-4.21151,0.44676,0.643181,0.001359,0.0,0.00169666,-0.714109,-1.0,-1.0,-0.603717,0.522839,990.5,62.5,84.0,366.1,100.0,1.0
11838,74,158,-6.07624,1.0,-0.517302,0.00013,0.0,0.00115529,-0.58033,-1.0,-1.0,-0.322524,0.381637,1504.1,55.5,60.0,549.1,100.0,1.0
11994,75,156,-4.900621,0.2,0.737526,0.015113,0.087616,0.00153556,-0.594172,-1.0,-0.876597,-0.382784,0.404791,1771.3,71.7,61.9,758.1,100.0,1.0
12145,76,151,-3.3136,1.0,0.679886,0.001448,0.0,0.00208995,-0.631675,-1.0,-1.0,-0.435271,0.431697,1526.4,67.6,67.2,247.5,100.0,1.0
