scenario,scenario_label,level_idx,level_label,corner,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm
packet_loss,Packet Loss (Type 1),1,5%,water,-0.9764617681503296,-1.0,0.9959148168563843,2568.778854370117,16833.868309020996,1.6340682983398438
packet_loss,Packet Loss (Type 1),1,5%,balanced,-0.7471727728843689,-0.996828556060791,0.9984184503555298,2961.7049255371094,14097.777239990235,0.6326473236083985
packet_loss,Packet Loss (Type 1),2,10%,yield,-0.9976239204406738,-1.0,0.994681179523468,2787.3172454833984,14924.221057128907,2.127542495727539
packet_loss,Packet Loss (Type 1),2,10%,n_eff,-0.6118313670158386,-0.7065227627754211,0.999832808971405,4560.740966796875,321.6,0.06687355041503906
packet_loss,Packet Loss (Type 1),2,10%,water,-0.7078689932823181,-0.9959532022476196,0.9959715008735657,3763.1302642822266,16583.492221069337,1.6114166259765625
packet_loss,Packet Loss (Type 1),2,10%,balanced,-0.8932007551193237,-0.9981490969657898,0.9984188079833984,3452.686309814453,14097.777239990235,0.6324714660644531
packet_loss,Packet Loss (Type 1),3,20%,yield,-0.8811429738998413,-0.9980940818786621,0.994651198387146,3326.23876953125,15017.409780883789,2.1395286560058593
packet_loss,Packet Loss (Type 1),3,20%,n_eff,-0.34413716197013855,-0.640119194984436,0.9998334646224976,6163.56689453125,319.6,0.066619873046875
packet_loss,Packet Loss (Type 1),3,20%,water,-0.7874894142150879,-0.9977140426635742,0.995926022529602,2996.8723907470703,16729.610113525392,1.6296306610107423
packet_loss,Packet Loss (Type 1),3,20%,balanced,-0.5453327894210815,-0.9930241703987122,0.9983789324760437,4608.917663574219,14382.221673583985,0.6484180450439453
packet_loss,Packet Loss (Type 1),4,50%,yield,-0.936618447303772,-1.0,0.9944816827774048,3692.666717529297,15317.260000610351,2.2073192596435547
packet_loss,Packet Loss (Type 1),4,50%,n_eff,-0.8392124176025391,-0.9106063842773438,0.999829888343811,3497.8328552246094,321.2,0.06806068420410157
packet_loss,Packet Loss (Type 1),4,50%,water,-0.7487872838973999,-0.9975646734237671,0.9958715438842773,3445.481246948242,16729.229638671874,1.6513538360595703
packet_loss,Packet Loss (Type 1),4,50%,balanced,-0.7472596764564514,-0.9955804944038391,0.9983677864074707,3620.5667266845703,14097.777239990235,0.6528690338134766
stuck_soil,Stuck Sensor (sw_mean),0,No fault,yield,-0.41756749153137207,-0.9925710558891296,0.9947110414505005,5064.777099609375,14886.280946350098,2.1155715942382813
stuck_soil,Stuck Sensor (sw_mean),0,No fault,n_eff,-0.8230897188186646,-0.9196823239326477,0.9998347163200378,4218.46044921875,318.0,0.06609916687011719
stuck_soil,Stuck Sensor (sw_mean),0,No fault,water,-0.5835905075073242,-0.9940927624702454,0.9960363507270813,4819.908111572266,16333.157887268066,1.585445022583008
stuck_soil,Stuck Sensor (sw_mean),0,No fault,balanced,-0.8919099569320679,-0.9981837272644043,0.9983960390090942,2755.088836669922,14346.666119384765,0.6415935516357422
stuck_soil,Stuck Sensor (sw_mean),1,Day 120,yield,-0.3366851508617401,-0.990521252155304,0.9947437047958374,6337.2294921875,14792.504031372071,2.1025058746337892
