episode,total_steps,fault_type,phase,is_clean,R_yield,R_ane,R_water_eff,ep_len,critic_loss
170,27232,clean,0,1,0.8047,-0.9566,-0.5563,161,0.000592
171,27391,clean,0,1,0.7049,-0.6594,-1.0,159,0.003446
172,27551,clean,0,1,0.8476,-0.8975,-1.0,160,0.003883
173,27711,clean,0,1,1.0,-0.9405,-1.0,160,0.008268
174,27869,clean,0,1,0.5053,-0.9552,-1.0,158,0.004389
175,28029,clean,0,1,-0.3833,-0.972,-0.2769,160,0.003252
176,28184,clean,0,1,1.0,-0.7621,-1.0,155,0.003274
177,28343,clean,0,1,0.7206,-0.9399,-1.0,159,0.00222
178,28500,clean,0,1,0.1096,-0.9606,-0.5829,157,0.002789
179,28627,clean,0,1,-1.0,-1.0,-1.0,127,0.002909
180,28786,clean,0,1,-0.2307,-0.2305,-1.0,159,0.002499
181,28940,clean,0,1,1.0,-0.7873,-1.0,154,0.004242
182,29096,clean,0,1,0.4796,-0.9559,-1.0,156,0.002148
183,29254,clean,0,1,0.8908,-0.9446,-1.0,158,0.001669
184,29421,clean,0,1,0.9955,-0.9342,-1.0,167,0.002971
185,29579,clean,0,1,0.6488,-0.9426,-1.0,158,0.004761
186,29738,clean,0,1,-0.0142,-0.9644,0.3087,159,0.002007
187,29903,clean,0,1,0.9308,-0.9433,-1.0,165,0.004471
188,30063,clean,0,1,0.9101,-0.9334,-1.0,160,0.001562
189,30225,clean,0,1,0.4193,-0.8074,-1.0,162,0.001993
190,30387,clean,0,1,0.9845,-0.8863,-1.0,162,0.00305
191,30545,clean,0,1,1.0,-0.9311,-1.0,158,0.001909
192,30700,clean,0,1,0.67,-0.9475,-1.0,155,0.002096
193,30862,clean,0,1,-0.5182,-0.9711,0.32,162,0.002528
194,31013,clean,0,1,0.8887,-0.9289,-1.0,151,0.003845
195,31177,clean,0,1,0.577,-0.9496,0.385,164,0.003599
196,31344,clean,0,1,-0.0286,-0.1981,-1.0,167,0.003409
197,31512,clean,0,1,0.7467,-0.9401,-1.0,168,0.002532
198,31676,clean,0,1,-0.5698,-0.3427,-1.0,164,0.002282
199,31840,clean,0,1,0.5686,-0.9597,-1.0,164,0.003823
200,31997,clean,0,1,1.0,-0.9438,-1.0,157,0.003859
201,32156,clean,0,1,0.3896,-0.9611,-0.6509,159,0.003713
202,32315,clean,0,1,0.848,-0.9542,-1.0,159,0.003062
203,32473,clean,0,1,0.8881,-0.9523,-1.0,158,0.004273
204,32633,clean,0,1,1.0,-0.9426,-1.0,160,0.002589
205,32795,clean,0,1,1.0,-0.9404,-1.0,162,0.001325
206,32958,clean,0,1,0.88,-0.905,-1.0,163,0.002901
207,33122,clean,0,1,1.0,-0.9505,0.0764,164,0.002033
208,33275,clean,0,1,0.9963,-0.9514,-1.0,153,0.002184
209,33429,clean,0,1,0.9691,-0.9469,-1.0,154,0.002048
210,33591,clean,0,1,0.8012,-0.7346,-1.0,162,0.001886
211,33750,clean,0,1,0.8468,-0.96,-1.0,159,0.001442
