episode,total_steps,fault_type,phase,is_clean,R_yield,R_ane,R_water_eff,ep_len,critic_loss
799,127659,clean,0,1,0.4067,-0.9206,-1.0,159,0.000484
800,127818,clean,0,1,0.5445,-0.9211,-0.0883,159,0.000254
801,127983,clean,0,1,0.3815,-0.9478,0.334,165,0.000301
802,128148,clean,0,1,0.5067,-0.9301,-1.0,165,0.000386
803,128305,clean,0,1,1.0,-0.8725,-1.0,157,0.000922
804,128464,clean,0,1,0.9554,-0.923,-1.0,159,0.000751
805,128625,clean,0,1,0.8311,-0.9203,-0.6614,161,0.000408
806,128787,clean,0,1,0.0762,-0.9517,0.3227,162,0.000217
807,128943,clean,0,1,1.0,-0.9057,-1.0,156,0.000239
808,129103,clean,0,1,-0.7786,-1.0,-1.0,160,0.000311
809,129264,clean,0,1,0.5759,-0.9408,-0.897,161,0.000781
810,129428,clean,0,1,0.6089,-0.8975,-1.0,164,0.000397
811,129591,clean,0,1,0.7268,-0.9369,-0.6894,163,0.000479
812,129756,clean,0,1,0.8834,-0.9131,-1.0,165,0.000261
813,129905,clean,0,1,-0.6294,-0.9665,0.365,149,0.000475
814,130065,clean,0,1,0.8526,-0.9212,-1.0,160,0.000597
815,130225,clean,0,1,0.9116,-0.9078,-1.0,160,0.000531
816,130387,clean,0,1,1.0,-0.8349,-1.0,162,0.000381
817,130549,clean,0,1,0.9501,-0.8223,-1.0,162,0.000469
818,130713,clean,0,1,1.0,-0.6675,-1.0,164,0.000257
819,130877,clean,0,1,0.6009,-0.9227,-1.0,164,0.000346
820,131039,clean,0,1,-0.2305,-0.9643,0.0862,162,0.00044
821,131193,clean,0,1,0.9922,-0.9242,-1.0,154,0.000585
822,131352,clean,0,1,-0.7683,-1.0,-1.0,159,0.000293
823,131512,clean,0,1,-0.6696,-0.9654,0.213,160,0.000245
824,131659,clean,0,1,0.7212,-0.9133,-1.0,147,0.000288
825,131821,clean,0,1,0.8383,-0.9376,0.3162,162,0.000484
826,131983,clean,0,1,-0.9247,-1.0,-1.0,162,0.000443
827,132141,clean,0,1,0.5696,-0.9388,0.2887,158,0.000533
828,132303,clean,0,1,0.4293,-0.941,-1.0,162,0.000196
829,132459,clean,0,1,1.0,-0.8894,-1.0,156,0.000469
830,132620,clean,0,1,1.0,-0.9236,-1.0,161,0.000302
831,132783,clean,0,1,-0.0072,-0.9486,0.1093,163,0.000337
832,132949,clean,0,1,0.6786,-0.934,-1.0,166,0.000331
833,133113,clean,0,1,0.7966,-0.9326,-1.0,164,0.000313
834,133269,clean,0,1,0.4675,-0.9348,0.3404,156,0.0005
835,133420,clean,0,1,-0.2944,-0.9524,-0.0005,151,0.000457
836,133581,clean,0,1,0.9165,-0.8661,-1.0,161,0.000254
837,133742,clean,0,1,1.0,-0.9288,-1.0,161,0.00026
838,133905,clean,0,1,1.0,-0.9096,-1.0,163,0.000487
839,134070,clean,0,1,0.9144,-0.7209,-1.0,165,0.00029
840,134228,clean,0,1,0.8589,-0.9278,-1.0,158,0.000471
841,134390,clean,0,1,0.8822,-0.9002,-1.0,162,0.000405
842,134543,clean,0,1,0.8347,-0.9253,-1.0,153,0.000576
843,134700,clean,0,1,0.3701,-0.9384,0.2462,157,0.000272
844,134859,clean,0,1,1.0,-0.9002,-1.0,159,0.000269
845,135015,clean,0,1,0.9946,-0.9174,-1.0,156,0.000194
846,135172,clean,0,1,0.8576,-0.9266,0.3497,157,0.000265
847,135333,clean,0,1,0.7627,-0.9353,-0.2713,161,0.000271
848,135486,clean,0,1,-0.1989,-0.9458,0.3084,153,0.000383
849,135644,clean,0,1,1.0,-0.9013,-1.0,158,0.000392
850,135812,clean,0,1,0.7148,-0.8954,-1.0,168,0.000282
851,135982,clean,0,1,0.7745,-0.935,-0.0854,170,0.000796
852,136145,clean,0,1,0.9849,-0.9318,-0.9941,163,0.000205
853,136307,clean,0,1,0.6224,-0.9341,-1.0,162,0.000347
854,136472,clean,0,1,1.0,-0.868,-1.0,165,0.00035
855,136631,clean,0,1,0.6494,-0.8399,-1.0,159,0.001062
856,136795,clean,0,1,0.9556,-0.9347,-1.0,164,0.001005
857,136959,clean,0,1,1.0,-0.9266,-1.0,164,0.000599
858,137118,clean,0,1,1.0,-0.9269,-1.0,159,0.000347
859,137275,clean,0,1,1.0,-0.9149,-1.0,157,0.00055
860,137429,clean,0,1,0.6563,-0.9373,-1.0,154,0.000622
861,137593,clean,0,1,1.0,-0.9041,-1.0,164,0.000337
862,137750,clean,0,1,1.0,-0.9243,-1.0,157,0.000317
863,137909,clean,0,1,1.0,-0.8997,-1.0,159,0.000638
864,138062,clean,0,1,0.943,-0.9203,-1.0,153,0.000219
865,138221,clean,0,1,1.0,-0.926,0.4133,159,0.000309
866,138386,clean,0,1,0.6341,-0.9197,-1.0,165,0.001023
867,138545,clean,0,1,0.7603,-0.9282,-1.0,159,0.000249
868,138704,clean,0,1,0.0346,-0.945,0.3558,159,0.000527
869,138867,clean,0,1,0.8684,-0.93,-1.0,163,0.001148
870,139030,clean,0,1,1.0,-0.8675,-1.0,163,0.000543
871,139185,clean,0,1,1.0,-0.9269,-1.0,155,0.001324
872,139346,clean,0,1,1.0,-0.9085,-1.0,161,0.000405
873,139504,clean,0,1,0.5493,-0.9459,-1.0,158,0.000376
874,139664,clean,0,1,0.7992,-0.9381,0.3215,160,0.000167
875,139826,clean,0,1,0.9123,-0.8944,-1.0,162,8.5e-05
876,139987,clean,0,1,0.5957,-0.9319,-1.0,161,0.000633
877,140147,clean,0,1,-0.0207,-0.4139,-1.0,160,0.000261
878,140308,clean,0,1,1.0,-0.921,-1.0,161,0.00013
879,140474,clean,0,1,-0.731,-1.0,-1.0,166,0.000352
880,140632,clean,0,1,0.0994,-0.9476,0.232,158,0.000304
881,140790,clean,0,1,0.9145,-0.9311,-1.0,158,9.2e-05
882,140942,clean,0,1,-0.676,-0.1939,-1.0,152,0.000764
883,141099,clean,0,1,1.0,-0.9112,-1.0,157,0.000557
884,141258,clean,0,1,-0.3194,-0.1782,-1.0,159,0.000512
885,141416,clean,0,1,0.4525,-0.9369,0.3154,158,0.000704
886,141577,clean,0,1,0.3259,-0.4744,-1.0,161,0.000476
887,141742,clean,0,1,1.0,-0.9316,-1.0,165,0.000334
888,141906,clean,0,1,1.0,-0.9084,-1.0,164,0.000278
889,142060,clean,0,1,0.294,-0.9293,-0.1439,154,0.00104
890,142223,clean,0,1,0.992,-0.8928,-1.0,163,0.000321
891,142386,clean,0,1,0.4113,-0.9497,-1.0,163,0.00032
892,142539,clean,0,1,1.0,-0.9149,-1.0,153,0.000585
893,142699,clean,0,1,-0.4407,-0.0416,-1.0,160,0.000603
894,142862,clean,0,1,1.0,-0.9308,-0.6142,163,0.000888
895,143022,clean,0,1,0.9789,-0.8976,-1.0,160,0.000395
896,143187,clean,0,1,1.0,-0.9169,-1.0,165,0.000441
897,143348,clean,0,1,0.7327,-0.927,0.3679,161,0.000558
898,143508,clean,0,1,-0.3253,-0.0563,-1.0,160,0.001505
899,143663,clean,0,1,0.8706,-0.9233,-1.0,155,0.000595
900,143823,clean,0,1,1.0,-0.9155,-1.0,160,0.000345
901,143988,clean,0,1,0.7575,-0.5495,-1.0,165,0.000291
902,144148,clean,0,1,0.8336,-0.9341,-1.0,160,0.00042
903,144309,clean,0,1,0.7379,-0.9363,-1.0,161,0.000129
904,144471,clean,0,1,0.6852,-0.8835,-1.0,162,0.000681
905,144636,clean,0,1,0.6704,-0.9362,-1.0,165,0.000742
906,144790,clean,0,1,-0.7591,-1.0,-1.0,154,0.000676
907,144952,clean,0,1,1.0,-0.9172,-1.0,162,0.000392
908,145107,clean,0,1,0.7667,-0.9294,-1.0,155,0.00054
909,145266,clean,0,1,0.4961,-0.707,-1.0,159,0.000235
910,145428,clean,0,1,0.4029,-0.9427,-0.6268,162,0.000509
911,145589,clean,0,1,1.0,-0.928,-1.0,161,0.001454
912,145750,clean,0,1,0.9186,-0.926,-1.0,161,0.000521
913,145911,clean,0,1,-0.0221,-0.9531,0.2308,161,0.000926
914,146064,clean,0,1,1.0,-0.7929,-1.0,153,0.000713
915,146220,clean,0,1,-0.2841,-0.9538,0.3683,156,0.0007
916,146378,clean,0,1,0.424,-0.9236,-1.0,158,0.000732
917,146539,clean,0,1,0.737,-0.9241,-1.0,161,0.000546
918,146702,clean,0,1,0.8774,-0.9119,-1.0,163,0.000742
919,146859,clean,0,1,1.0,-0.9093,-1.0,157,0.000881
920,147021,clean,0,1,0.6872,-0.9337,-0.4577,162,0.000599
921,147177,clean,0,1,1.0,-0.8207,-1.0,156,0.00026
922,147331,clean,0,1,0.6849,-0.9383,0.2751,154,0.000316
923,147492,clean,0,1,0.9015,-0.9191,-1.0,161,0.000217
924,147659,clean,0,1,0.9208,-0.8726,-1.0,167,0.000461
925,147816,clean,0,1,0.5035,-0.9321,0.274,157,0.000386
926,147976,clean,0,1,0.8164,-0.9258,-0.7851,160,0.000323
927,148133,clean,0,1,-0.325,-0.958,0.3132,157,0.000417
928,148298,clean,0,1,0.8658,-0.931,-1.0,165,0.00039
929,148456,clean,0,1,1.0,-0.926,-0.9396,158,0.000244
930,148620,clean,0,1,0.9123,-0.9296,-1.0,164,0.000816
931,148787,clean,0,1,0.0823,-0.9424,0.3288,167,0.000352
932,148945,clean,0,1,1.0,-0.9,-1.0,158,0.000223
933,149102,clean,0,1,0.9539,-0.9078,-1.0,157,0.000131
934,149268,clean,0,1,0.6416,-0.9289,-1.0,166,0.000756
935,149424,clean,0,1,-0.7124,-1.0,-1.0,156,0.000257
936,149588,clean,0,1,1.0,-0.9304,-1.0,164,0.000248
937,149750,clean,0,1,0.8457,-0.9087,-1.0,162,0.000207
938,149905,clean,0,1,0.927,-0.9279,-1.0,155,0.000222
939,150063,clean,0,1,0.6862,-0.6693,-1.0,158,0.000735
940,150219,clean,0,1,0.8392,-0.9169,-1.0,156,0.000487
941,150385,clean,0,1,1.0,-0.6402,-1.0,166,0.001163
942,150543,clean,0,1,1.0,-0.909,-0.1852,158,0.000552
943,150707,clean,0,1,1.0,-0.9256,-1.0,164,0.000706
944,150868,clean,0,1,0.7827,-0.9363,-1.0,161,0.000615
945,151026,clean,0,1,0.84,-0.9237,0.2029,158,0.000287
946,151187,clean,0,1,0.4574,-0.8563,-1.0,161,0.000434
947,151350,clean,0,1,0.736,-0.9271,-1.0,163,0.001191
948,151514,clean,0,1,1.0,-0.9012,-1.0,164,0.00056
949,151672,clean,0,1,1.0,-0.9338,-1.0,158,0.000315
950,151833,clean,0,1,0.6597,-0.9216,-1.0,161,0.000271
951,151997,clean,0,1,0.9577,-0.9016,-1.0,164,0.000472
952,152156,clean,0,1,0.9866,-0.9212,-1.0,159,0.000516
953,152308,clean,0,1,-0.3009,-0.0607,-1.0,152,0.000325
954,152465,clean,0,1,0.6546,-0.9211,-1.0,157,0.001122
955,152621,clean,0,1,1.0,-0.8936,-1.0,156,0.000491
956,152778,clean,0,1,0.8636,-0.9345,-1.0,157,0.000208
957,152934,clean,0,1,0.9596,-0.934,-1.0,156,0.000184
958,153088,clean,0,1,0.9432,-0.9157,-1.0,154,0.000613
959,153247,clean,0,1,0.2539,-0.939,0.3729,159,0.000412
960,153407,clean,0,1,1.0,-0.9086,-1.0,160,0.000235
961,153566,clean,0,1,0.8547,-0.9208,-1.0,159,0.000304
962,153729,clean,0,1,0.868,-0.8808,-1.0,163,0.000135
963,153890,clean,0,1,0.834,-0.9248,-1.0,161,0.000267
964,154047,clean,0,1,0.7349,-0.9376,0.3454,157,0.000248
965,154209,clean,0,1,1.0,-0.8744,-1.0,162,0.000216
966,154372,clean,0,1,1.0,-0.9199,-1.0,163,0.000369
967,154526,clean,0,1,1.0,-0.9127,-1.0,154,0.000359
968,154687,clean,0,1,-0.844,-1.0,-1.0,161,0.001019
969,154842,clean,0,1,1.0,-0.9171,-1.0,155,0.000253
970,155005,clean,0,1,1.0,-0.9102,-1.0,163,0.000728
971,155159,clean,0,1,1.0,-0.9246,-1.0,154,0.000349
972,155320,clean,0,1,0.6818,-0.7195,-1.0,161,0.000146
973,155482,clean,0,1,1.0,-0.9118,-1.0,162,0.000142
974,155638,clean,0,1,1.0,-0.9105,-0.9927,156,0.000144
975,155798,clean,0,1,1.0,-0.9094,-1.0,160,0.000199
976,155957,clean,0,1,0.3278,-0.8304,-1.0,159,0.000583
977,156113,clean,0,1,0.5351,-0.9284,-1.0,156,0.000634
978,156274,clean,0,1,1.0,-0.9309,-1.0,161,0.002151
979,156431,clean,0,1,0.667,-0.926,-0.9269,157,0.000284
980,156587,clean,0,1,0.6326,-0.924,-1.0,156,0.000236
981,156749,clean,0,1,-0.724,-1.0,-1.0,162,0.00013
982,156909,clean,0,1,-0.6008,-0.2379,-1.0,160,0.000184
983,157064,clean,0,1,-0.8358,-1.0,-1.0,155,0.001254
984,157219,clean,0,1,0.6765,-0.9274,-1.0,155,0.000552
985,157381,clean,0,1,1.0,-0.9259,0.1496,162,0.001274
986,157541,clean,0,1,0.3366,-0.9425,-0.8193,160,0.000731
987,157702,clean,0,1,0.8053,-0.9167,-1.0,161,0.000358
988,157866,clean,0,1,0.9601,-0.8831,-1.0,164,0.000391
989,158030,clean,0,1,0.5295,-0.9402,-0.1488,164,0.000218
990,158198,clean,0,1,0.5961,-0.778,-1.0,168,0.000148
991,158351,clean,0,1,0.9367,-0.9143,-1.0,153,0.000565
992,158512,clean,0,1,0.9908,-0.9319,-1.0,161,0.000444
993,158670,clean,0,1,0.5367,-0.9394,-0.3049,158,0.00047
994,158824,clean,0,1,0.4962,-0.9242,-1.0,154,0.000524
995,158983,clean,0,1,0.4643,-0.8283,-1.0,159,0.000307
996,159145,clean,0,1,1.0,-0.9296,-1.0,162,0.000992
997,159299,clean,0,1,1.0,-0.922,-1.0,154,0.000214
998,159457,clean,0,1,0.7748,-0.835,-1.0,158,0.001042
999,159616,clean,0,1,0.8223,-0.9102,-1.0,159,0.000829
1000,159775,clean,0,1,0.5586,-0.9392,0.3578,159,0.000892
1001,159931,clean,0,1,0.2257,-0.9357,0.3808,156,0.000357
1002,160092,clean,0,1,1.0,-0.9027,-1.0,161,0.00043
1003,160246,clean,0,1,1.0,-0.8879,-1.0,154,0.000895
1004,160412,clean,0,1,0.6117,-0.9421,-1.0,166,0.000661
1005,160572,clean,0,1,1.0,-0.9086,-1.0,160,0.000246
1006,160728,clean,0,1,-0.4245,-0.1131,-1.0,156,0.000821
1007,160883,clean,0,1,0.755,-0.8418,-1.0,155,0.000308
1008,161041,clean,0,1,1.0,-0.91,-1.0,158,0.00021
1009,161198,clean,0,1,0.5961,-0.8886,-1.0,157,0.000588
1010,161355,clean,0,1,0.9146,-0.9287,-1.0,157,0.000193
1011,161518,clean,0,1,-0.5425,-0.1338,-1.0,163,0.000274
1012,161677,clean,0,1,0.9298,-0.9292,-0.7916,159,0.001073
1013,161839,clean,0,1,0.8913,-0.9277,-1.0,162,0.001498
1014,161998,clean,0,1,0.7414,-0.928,-1.0,159,0.000526
1015,162154,clean,0,1,1.0,-0.9216,-1.0,156,0.00037
1016,162322,clean,0,1,-0.3341,-0.9619,0.2811,168,0.000194
1017,162481,clean,0,1,0.9702,-0.9227,-1.0,159,0.000251
1018,162645,clean,0,1,0.6565,-0.9264,-1.0,164,0.000409
1019,162808,clean,0,1,0.1025,-0.9439,-0.434,163,0.000197
1020,162969,clean,0,1,0.6537,-0.8949,-1.0,161,0.000164
1021,163132,clean,0,1,0.0809,-0.9504,0.3145,163,0.000124
1022,163289,clean,0,1,1.0,-0.9329,-1.0,157,0.000567
1023,163449,clean,0,1,1.0,-0.9257,-1.0,160,0.000488
1024,163604,clean,0,1,0.5472,-0.9327,-0.7748,155,0.000277
1025,163754,clean,0,1,1.0,-0.9135,-1.0,150,0.00032
1026,163912,clean,0,1,1.0,-0.929,-0.6526,158,0.000262
1027,164071,clean,0,1,0.9333,-0.9199,-1.0,159,0.000389
1028,164229,clean,0,1,1.0,-0.9003,-1.0,158,0.000304
1029,164387,clean,0,1,1.0,-0.9208,-1.0,158,0.000436
1030,164549,clean,0,1,0.5571,-0.9294,-1.0,162,0.000217
1031,164707,clean,0,1,0.5243,-0.9153,-1.0,158,8.6e-05
1032,164860,clean,0,1,0.5854,-0.7849,-1.0,153,0.00022
1033,165025,clean,0,1,1.0,-0.885,-1.0,165,0.001478
1034,165185,clean,0,1,0.4463,-0.9393,-1.0,160,0.001003
1035,165346,clean,0,1,1.0,-0.9139,-1.0,161,0.001158
1036,165507,clean,0,1,0.9171,-0.9179,-1.0,161,0.001297
1037,165664,clean,0,1,0.4526,-0.9274,0.2887,157,0.000795
1038,165823,clean,0,1,0.6504,-0.9177,-1.0,159,0.000534
1039,165983,clean,0,1,1.0,-0.7367,-1.0,160,0.000603
1040,166138,clean,0,1,0.7211,-0.9211,-1.0,155,0.000966
1041,166301,clean,0,1,0.865,-0.932,0.3083,163,0.00051
1042,166360,clean,0,1,-1.0,-1.0,-1.0,59,0.000627
1043,166519,clean,0,1,0.1956,-0.3313,-1.0,159,0.000243
1044,166687,clean,0,1,0.9225,-0.9002,-1.0,168,0.000293
1045,166848,clean,0,1,1.0,-0.839,-1.0,161,0.000546
1046,167000,clean,0,1,-0.5093,-0.962,0.3328,152,0.000945
1047,167155,clean,0,1,0.8753,-0.5839,-1.0,155,0.000873
1048,167310,clean,0,1,1.0,-0.9251,-1.0,155,0.000987
1049,167471,clean,0,1,1.0,-0.9345,-1.0,161,0.000401
1050,167631,clean,0,1,-0.9441,-1.0,-1.0,160,0.000489
1051,167781,clean,0,1,0.8165,-0.9295,-1.0,150,0.000497
1052,167945,clean,0,1,1.0,-0.884,-1.0,164,0.000474
1053,168107,clean,0,1,0.8737,-0.9205,-0.379,162,9.4e-05
1054,168271,clean,0,1,0.93,-0.9319,-1.0,164,0.000251
1055,168424,clean,0,1,1.0,-0.8623,-1.0,153,0.000442
1056,168589,clean,0,1,0.893,-0.9072,-1.0,165,0.00031
1057,168753,clean,0,1,-0.7338,-1.0,-1.0,164,0.000324
1058,168918,clean,0,1,0.979,-0.9369,-1.0,165,0.00024
1059,169073,clean,0,1,0.5956,-0.9204,-1.0,155,0.000856
1060,169236,clean,0,1,0.6657,-0.9331,-1.0,163,0.000256
1061,169397,clean,0,1,1.0,-0.9245,-1.0,161,0.000292
1062,169558,clean,0,1,0.8338,-0.8629,-1.0,161,0.000281
1063,169720,clean,0,1,0.3472,-0.9428,0.2863,162,0.000189
1064,169885,clean,0,1,1.0,-0.9088,-1.0,165,0.00056
1065,170040,clean,0,1,0.8332,-0.9246,-0.7352,155,0.000954
1066,170202,clean,0,1,0.46,-0.6805,-1.0,162,0.000324
1067,170356,clean,0,1,1.0,-0.9121,-1.0,154,0.000263
1068,170515,clean,0,1,0.5569,-0.9152,-1.0,159,0.000281
1069,170678,clean,0,1,1.0,-0.9269,0.0054,163,0.000163
1070,170839,clean,0,1,0.6665,-0.9374,-1.0,161,0.000521
1071,171003,clean,0,1,0.587,-0.9369,-0.7475,164,0.00033
1072,171162,clean,0,1,0.8412,-0.9062,-1.0,159,0.000204
1073,171320,clean,0,1,0.9903,-0.923,-1.0,158,0.000179
1074,171483,clean,0,1,1.0,-0.9231,-1.0,163,0.000284
1075,171645,clean,0,1,0.7495,-0.9335,-1.0,162,0.000534
1076,171806,clean,0,1,1.0,-0.9186,-1.0,161,0.000646
1077,171961,clean,0,1,0.7549,-0.9284,-1.0,155,0.000493
1078,172117,clean,0,1,0.8896,-0.9172,-1.0,156,0.000416
1079,172275,clean,0,1,0.8764,-0.9153,-1.0,158,0.000374
1080,172434,clean,0,1,0.8947,-0.9246,-1.0,159,0.000216
1081,172594,clean,0,1,0.9978,-0.9059,-1.0,160,0.000234
1082,172750,clean,0,1,0.6412,-0.9304,-1.0,156,0.000795
1083,172907,clean,0,1,-0.4502,-0.9632,0.1368,157,0.00085
1084,173068,clean,0,1,0.9003,-0.9322,-1.0,161,0.001062
1085,173237,clean,0,1,0.702,-0.9407,-1.0,169,0.000655
1086,173400,clean,0,1,0.9096,-0.9124,-1.0,163,0.00047
1087,173565,clean,0,1,0.6455,-0.9383,-0.3168,165,0.000383
1088,173725,clean,0,1,0.9629,-0.9236,-1.0,160,0.000234
1089,173890,clean,0,1,1.0,-0.8712,-1.0,165,0.000572
1090,174052,clean,0,1,1.0,-0.9128,-1.0,162,0.000733
1091,174210,clean,0,1,0.0095,-0.9429,0.3145,158,0.000212
1092,174369,clean,0,1,1.0,-0.9204,-1.0,159,0.000203
1093,174531,clean,0,1,1.0,-0.9234,-0.3464,162,0.000205
1094,174685,clean,0,1,0.8868,-0.9137,-1.0,154,0.000254
1095,174840,clean,0,1,0.9704,-0.6393,-1.0,155,0.000181
1096,174998,clean,0,1,0.7825,-0.8899,-1.0,158,0.000217
1097,175161,clean,0,1,0.4252,-0.937,-1.0,163,0.000165
1098,175320,clean,0,1,0.6188,-0.9289,-1.0,159,0.000383
1099,175480,clean,0,1,0.4948,-0.9239,-1.0,160,0.000318
1100,175640,clean,0,1,1.0,-0.9125,-1.0,160,0.000132
1101,175804,clean,0,1,-0.5987,-0.1793,-1.0,164,0.000317
1102,175962,clean,0,1,1.0,-0.8481,-1.0,158,0.000242
1103,176114,clean,0,1,0.4804,-0.923,0.4138,152,0.00027
1104,176273,clean,0,1,1.0,-0.8933,-1.0,159,0.000832
1105,176431,clean,0,1,0.6839,-0.9403,-1.0,158,0.0009
1106,176584,clean,0,1,0.8911,-0.7769,-1.0,153,0.000228
1107,176742,clean,0,1,0.9614,-0.8992,-1.0,158,0.00019
1108,176901,clean,0,1,0.6146,-0.9353,-1.0,159,0.000473
1109,177059,clean,0,1,0.7104,-0.9292,-0.63,158,0.000499
1110,177224,clean,0,1,0.695,-0.854,-1.0,165,0.000966
1111,177380,clean,0,1,1.0,-0.8603,-1.0,156,0.000725
1112,177542,clean,0,1,0.7311,-0.9355,-1.0,162,0.000162
1113,177708,clean,0,1,0.5567,-0.9273,-1.0,166,0.000702
1114,177871,clean,0,1,-0.7102,-1.0,-1.0,163,0.000203
1115,178036,clean,0,1,1.0,-0.9066,-1.0,165,0.000342
1116,178197,clean,0,1,0.8068,-0.9192,-1.0,161,0.000569
1117,178357,clean,0,1,1.0,-0.8504,-1.0,160,0.000315
1118,178514,clean,0,1,1.0,-0.9047,-1.0,157,0.000272
1119,178677,clean,0,1,-0.612,-0.9647,0.2689,163,0.000488
1120,178837,clean,0,1,1.0,-0.915,-1.0,160,0.000513
1121,178995,clean,0,1,0.8794,-0.8967,-0.9622,158,0.000481
1122,179155,clean,0,1,0.6189,-0.9392,-1.0,160,0.001159
1123,179310,clean,0,1,1.0,-0.9106,-1.0,155,0.000238
1124,179470,clean,0,1,1.0,-0.9192,-1.0,160,0.000216
1125,179632,clean,0,1,0.7162,-0.9324,-1.0,162,0.000216
1126,179788,clean,0,1,1.0,-0.6732,-1.0,156,0.000233
1127,179943,clean,0,1,-0.1188,-0.9432,0.0984,155,0.001664
1128,180105,clean,0,1,0.1565,-0.2077,-1.0,162,0.001008
1129,180265,clean,0,1,0.7438,-0.9308,-1.0,160,0.000669
1130,180433,clean,0,1,0.3534,-0.9473,-1.0,168,0.000348
1131,180594,clean,0,1,1.0,-0.9079,-1.0,161,0.000166
1132,180758,clean,0,1,1.0,-0.9093,-0.6504,164,8.8e-05
1133,180921,clean,0,1,0.3907,-0.9195,-1.0,163,0.000586
1134,181089,clean,0,1,1.0,-0.9213,-1.0,168,0.000502
1135,181250,clean,0,1,1.0,-0.8483,-1.0,161,0.000386
1136,181406,clean,0,1,0.679,-0.8737,-1.0,156,0.000371
1137,181566,clean,0,1,0.3182,-0.9466,-0.9571,160,0.000232
1138,181726,clean,0,1,0.3045,-0.9484,0.3292,160,0.00069
1139,181880,clean,0,1,0.43,-0.9474,-1.0,154,0.000243
1140,182047,clean,0,1,0.695,-0.9346,0.3446,167,0.000382
1141,182207,clean,0,1,1.0,-0.9237,-1.0,160,0.000196
1142,182367,clean,0,1,0.8128,-0.9391,-1.0,160,0.000164
1143,182530,clean,0,1,1.0,-0.8548,-1.0,163,0.000687
1144,182689,clean,0,1,0.7698,-0.933,-1.0,159,0.000742
1145,182852,clean,0,1,0.6804,-0.9024,-1.0,163,0.00024
1146,183005,clean,0,1,0.7413,-0.7294,-1.0,153,9.5e-05
1147,183166,clean,0,1,1.0,-0.8924,-1.0,161,5.2e-05
1148,183333,clean,0,1,0.8264,-0.9259,-1.0,167,0.000538
1149,183486,clean,0,1,-0.796,-1.0,-1.0,153,0.000183
1150,183655,clean,0,1,0.5872,-0.7748,-1.0,169,0.000366
1151,183813,clean,0,1,-0.7675,-1.0,-1.0,158,0.000173
1152,183972,clean,0,1,0.6243,-0.9181,-1.0,159,0.000265
1153,184135,clean,0,1,0.5096,-0.9248,0.2697,163,0.000197
1154,184295,clean,0,1,0.9266,-0.9279,-0.1716,160,0.000182
1155,184453,clean,0,1,1.0,-0.9217,-1.0,158,0.000125
1156,184618,clean,0,1,1.0,-0.6232,-1.0,165,0.000182
1157,184783,clean,0,1,1.0,-0.9238,-1.0,165,0.000141
1158,184941,clean,0,1,1.0,-0.9196,-0.2665,158,0.000262
1159,185109,clean,0,1,1.0,-0.9201,-1.0,168,0.000615
1160,185265,clean,0,1,1.0,-0.9376,-0.4948,156,0.000212
1161,185425,clean,0,1,1.0,-0.9041,-1.0,160,0.000337
1162,185585,clean,0,1,0.4753,-0.9476,0.3297,160,0.000649
1163,185743,clean,0,1,0.8148,-0.9259,-1.0,158,0.000756
1164,185901,clean,0,1,0.5729,-0.9327,-1.0,158,0.001774
1165,186063,clean,0,1,0.8601,-0.9185,-1.0,162,0.000743
1166,186216,clean,0,1,0.9367,-0.8967,-1.0,153,0.000605
1167,186375,clean,0,1,1.0,-0.9104,-1.0,159,0.000644
1168,186530,clean,0,1,1.0,-0.908,-1.0,155,0.000423
1169,186693,clean,0,1,1.0,-0.6082,-1.0,163,0.000581
1170,186849,clean,0,1,0.5871,-0.9199,-1.0,156,0.000816
1171,187007,clean,0,1,0.6713,-0.923,-0.4668,158,0.000256
1172,187174,clean,0,1,1.0,-0.931,-1.0,167,0.000277
1173,187329,clean,0,1,0.7529,-0.9298,-1.0,155,0.000602
1174,187495,clean,0,1,1.0,-0.9117,-1.0,166,0.000902
1175,187656,clean,0,1,1.0,-0.9194,-1.0,161,0.0006
1176,187824,clean,0,1,0.9723,-0.8732,-1.0,168,0.000402
1177,187984,clean,0,1,0.2336,-0.9398,-0.0086,160,0.000695
1178,188138,clean,0,1,0.9462,-0.8824,-1.0,154,0.000357
1179,188303,clean,0,1,-0.6094,-0.2061,-1.0,165,0.000503
1180,188464,clean,0,1,0.8397,-0.9369,-1.0,161,0.000294
1181,188622,clean,0,1,0.3549,-0.9254,-1.0,158,0.000375
1182,188786,clean,0,1,0.5717,-0.9402,-1.0,164,0.00027
1183,188944,clean,0,1,1.0,-0.9094,-1.0,158,0.001089
1184,189104,clean,0,1,0.8435,-0.9192,-1.0,160,0.001107
1185,189263,clean,0,1,0.6549,-0.9047,-0.2874,159,0.000508
1186,189419,clean,0,1,0.9704,-0.9184,-0.4667,156,0.000227
1187,189582,clean,0,1,0.5723,-0.9313,-1.0,163,0.000457
1188,189739,clean,0,1,0.8164,-0.8236,-1.0,157,0.000307
1189,189898,clean,0,1,1.0,-0.9063,-1.0,159,0.001065
1190,190059,clean,0,1,1.0,-0.5588,-1.0,161,0.000652
1191,190220,clean,0,1,0.9309,-0.9264,-1.0,161,0.000471
1192,190376,clean,0,1,0.6105,-0.9228,-0.537,156,0.00023
1193,190537,clean,0,1,1.0,-0.9117,-1.0,161,0.000211
1194,190699,clean,0,1,1.0,-0.9025,-1.0,162,0.000226
