timestep,n_updates,ep_rew_mean,ep_len_mean,policy_loss,value_loss,entropy_loss,explained_variance,clip_fraction,approx_kl,fps
438272,1060,0.0,0.0,-0.00638551,0.072097,-3.186712,0.963186,0.081689,0.00820442,0
442368,1070,0.0,0.0,-0.00498912,0.066047,-3.196186,0.974733,0.074854,0.00837315,0
446464,1080,0.0,0.0,-0.0065478,0.078547,-3.204975,0.968775,0.08855,0.00711295,0
450560,1090,0.0,0.0,-0.00549327,0.095058,-3.201715,0.966947,0.084814,0.00787642,0
454656,1100,0.0,0.0,-0.0036719,0.072604,-3.199113,0.969405,0.074854,0.00633772,0
458752,1110,0.0,0.0,-0.00276357,0.076427,-3.212903,0.968421,0.093433,0.00944338,0
462848,1120,0.0,0.0,-0.00356472,0.066966,-3.221374,0.975295,0.077026,0.00725325,0
466944,1130,0.0,0.0,-0.00405392,0.053869,-3.22644,0.963749,0.097925,0.00954251,0
471040,1140,0.0,0.0,-0.00439867,0.052365,-3.234858,0.969317,0.082593,0.00860054,0
475136,1150,0.0,0.0,-0.00239849,0.053295,-3.255033,0.968933,0.054712,0.00540975,0
479232,1160,0.0,0.0,-0.00511328,0.089265,-3.281751,0.961616,0.08855,0.00825206,0
483328,1170,0.0,0.0,-0.00261038,0.07098,-3.289933,0.963186,0.068506,0.00636029,0
487424,1180,0.0,0.0,-0.00697063,0.066423,-3.303462,0.971849,0.100439,0.00815984,0
491520,1190,0.0,0.0,-0.00383164,0.043882,-3.291654,0.97214,0.066382,0.00542006,0
495616,1200,0.0,0.0,-0.00381684,0.064056,-3.293823,0.969062,0.076245,0.00664835,0
499712,1210,0.0,0.0,-0.00550599,0.047733,-3.303846,0.97488,0.083667,0.00838324,0
503808,1220,0.0,0.0,-0.0051835,0.051261,-3.315892,0.96752,0.076074,0.00599132,0
507904,1230,0.0,0.0,-0.00376905,0.053536,-3.304957,0.956566,0.07168,0.00737489,0
512000,1240,0.0,0.0,-0.00589656,0.068611,-3.278606,0.952439,0.074854,0.00708534,0
516096,1250,0.0,0.0,-0.00541275,0.066629,-3.263745,0.944156,0.07959,0.00773339,0
520192,1260,0.0,0.0,-0.00449096,0.060681,-3.268322,0.952522,0.084375,0.00811871,0
524288,1270,0.0,0.0,-0.00615819,0.057187,-3.265721,0.955876,0.075439,0.00738755,0
528384,1280,0.0,0.0,-0.00380233,0.079151,-3.267033,0.951502,0.058691,0.00558894,0
532480,1290,0.0,0.0,-0.00544922,0.08552,-3.275703,0.947661,0.085376,0.00783326,0
536576,1300,0.0,0.0,-0.00330958,0.051946,-3.294434,0.968295,0.073291,0.00720029,0
540672,1310,0.0,0.0,-0.00423343,0.063757,-3.303771,0.96372,0.070117,0.0061114,0
544768,1320,0.0,0.0,-0.00642564,0.053537,-3.323251,0.972278,0.087354,0.00902906,0
548864,1330,0.0,0.0,-0.0027164,0.05417,-3.337238,0.97101,0.06521,0.00575053,0
552960,1340,0.0,0.0,-0.00495725,0.055244,-3.323254,0.956045,0.071094,0.00890185,0
557056,1350,0.0,0.0,-0.00651725,0.047934,-3.313622,0.964857,0.107446,0.00779581,0
561152,1360,0.0,0.0,-0.00563135,0.072397,-3.309574,0.956689,0.075024,0.00752867,0
565248,1370,0.0,0.0,-0.00476345,0.058723,-3.313027,0.957535,0.05896,0.00714397,0
569344,1380,0.0,0.0,-0.00440606,0.051751,-3.306266,0.966999,0.062183,0.00686659,0
573440,1390,0.0,0.0,-0.00628572,0.058422,-3.287851,0.952726,0.083765,0.00855778,0
577536,1400,0.0,0.0,-0.00615488,0.05558,-3.265374,0.953212,0.079834,0.00759842,0
581632,1410,0.0,0.0,-0.00679839,0.05067,-3.267331,0.960985,0.08269,0.00765795,0
585728,1420,0.0,0.0,-0.00404907,0.050151,-3.278626,0.95441,0.078857,0.00839052,0
589824,1430,0.0,0.0,-0.00444611,0.0548,-3.282763,0.961961,0.074316,0.00774334,0
593920,1440,0.0,0.0,-0.00497157,0.052665,-3.295428,0.965259,0.06604,0.00626125,0
598016,1450,0.0,0.0,-0.00458936,0.053133,-3.323593,0.955119,0.066382,0.0071551,0
602112,1460,0.0,0.0,-0.00644555,0.04398,-3.346995,0.967321,0.078589,0.00664005,0
606208,1470,0.0,0.0,-0.00563394,0.040368,-3.34949,0.961913,0.075244,0.00704269,0
610304,1480,0.0,0.0,-0.00638799,0.044097,-3.330017,0.97022,0.07959,0.00832785,0
614400,1490,0.0,0.0,-0.00715065,0.069231,-3.31701,0.947818,0.069409,0.00809568,0
618496,1500,0.0,0.0,-0.00381907,0.036249,-3.313058,0.976689,0.07373,0.00703914,0
622592,1510,0.0,0.0,-0.00442193,0.053709,-3.302213,0.966069,0.073022,0.00702127,0
626688,1520,0.0,0.0,-0.00449113,0.056824,-3.29821,0.966796,0.069263,0.00653884,0
630784,1530,0.0,0.0,-0.00540173,0.064326,-3.291957,0.944129,0.092798,0.00796407,0
634880,1540,0.0,0.0,-0.00612157,0.071003,-3.28696,0.956808,0.087451,0.00942678,0
638976,1550,0.0,0.0,-0.00515566,0.065606,-3.290771,0.960605,0.064478,0.00634573,0
643072,1560,0.0,0.0,-0.00657346,0.042913,-3.289123,0.96537,0.087402,0.00805134,0
647168,1570,0.0,0.0,-0.00495617,0.049168,-3.29719,0.97085,0.075244,0.00686286,0
651264,1580,0.0,0.0,-0.00841592,0.042503,-3.294241,0.972194,0.101733,0.00927686,0
655360,1590,0.0,0.0,-0.00761729,0.049913,-3.290033,0.966006,0.091138,0.00883365,0
659456,1600,0.0,0.0,-0.00467165,0.051298,-3.279648,0.962146,0.07771,0.00671178,0
663552,1610,0.0,0.0,-0.00814964,0.047315,-3.297733,0.973243,0.09502,0.00836317,0
667648,1620,0.0,0.0,-0.0049941,0.044812,-3.30069,0.973749,0.064282,0.00609973,0
671744,1630,0.0,0.0,-0.00592982,0.037425,-3.302635,0.976989,0.092603,0.00869053,0
675840,1640,0.0,0.0,-0.00537372,0.340369,-3.317574,0.831829,0.102319,0.00912783,0
679936,1650,0.0,0.0,-0.00660976,0.040741,-3.345908,0.964557,0.080615,0.00704589,0
684032,1660,0.0,0.0,-0.00515334,0.039212,-3.363013,0.96727,0.060229,0.00582505,0
688128,1670,0.0,0.0,-0.00500877,0.038949,-3.389358,0.974407,0.068726,0.00724912,0
692224,1680,0.0,0.0,-0.00579676,0.032441,-3.416152,0.975958,0.061963,0.00590453,0
696320,1690,0.0,0.0,-0.00618784,0.044822,-3.423939,0.968733,0.067773,0.00731799,0
700416,1700,0.0,0.0,-0.00851195,0.045285,-3.404801,0.972559,0.079053,0.0072542,0
704512,1710,0.0,0.0,-0.004608,0.054465,-3.404602,0.969725,0.053198,0.00593019,0
708608,1720,0.0,0.0,-0.00545781,0.050149,-3.411671,0.969763,0.059814,0.00572346,0
712704,1730,0.0,0.0,-0.00580825,0.044805,-3.411575,0.97506,0.067139,0.00776607,0
716800,1740,0.0,0.0,-0.00604276,0.044634,-3.412093,0.971392,0.071582,0.00704576,0
720896,1750,0.0,0.0,-0.00426054,0.041727,-3.405766,0.975086,0.062158,0.006005,0
724992,1760,0.0,0.0,-0.00997002,0.02945,-3.396955,0.97888,0.089233,0.00805738,0
729088,1770,0.0,0.0,-0.00840184,0.025339,-3.389294,0.982316,0.103906,0.00977347,0
733184,1780,0.0,0.0,-0.00525243,0.043104,-3.373052,0.969595,0.080225,0.00832056,0
737280,1790,0.0,0.0,-0.00584022,0.040406,-3.373733,0.971083,0.074951,0.00676582,0
741376,1800,0.0,0.0,-0.00471349,0.029441,-3.381083,0.976976,0.070288,0.00650603,0
745472,1810,0.0,0.0,-0.00422617,0.034109,-3.391624,0.971757,0.067773,0.00813871,0
749568,1820,0.0,0.0,-0.00499436,0.04001,-3.402346,0.975198,0.073291,0.00690538,0
753664,1830,0.0,0.0,-0.00500047,0.039269,-3.419007,0.973109,0.072607,0.00660777,0
757760,1840,0.0,0.0,-0.00666181,0.040948,-3.426048,0.969274,0.078784,0.00755741,0
761856,1850,0.0,0.0,-0.00689996,0.04111,-3.427394,0.968586,0.090625,0.00806922,0
765952,1860,0.0,0.0,-0.00603896,0.042536,-3.422637,0.964046,0.093701,0.00736519,0
770048,1870,0.0,0.0,-0.00297836,0.282142,-3.425195,0.85576,0.076294,0.00636833,0
774144,1880,0.0,0.0,-0.00720152,0.050435,-3.444633,0.96403,0.07395,0.00778222,0
778240,1890,0.0,0.0,-0.0064135,0.044376,-3.43658,0.966054,0.069897,0.0069725,0
782336,1900,0.0,0.0,-0.00590309,0.042789,-3.431581,0.970293,0.079883,0.00752329,0
786432,1910,0.0,0.0,-0.00473994,0.032923,-3.419901,0.973914,0.066528,0.00639901,0
790528,1920,0.0,0.0,-0.00657127,0.031675,-3.411132,0.9794,0.073535,0.00657349,0
794624,1930,0.0,0.0,-0.00629514,0.034032,-3.422884,0.975095,0.079517,0.00755781,0
798720,1940,0.0,0.0,-0.00682039,0.046442,-3.441563,0.968509,0.072705,0.00749309,0
802816,1950,0.0,0.0,-0.00516222,0.035888,-3.449504,0.975313,0.059839,0.00636708,0
806912,1960,0.0,0.0,-0.00639059,0.038461,-3.447051,0.973957,0.086304,0.00804317,0
811008,1970,0.0,0.0,-0.00617005,0.040061,-3.435277,0.959847,0.074976,0.0080187,0
815104,1980,0.0,0.0,-0.00653472,0.04013,-3.42714,0.970674,0.087109,0.00737289,0
819200,1990,0.0,0.0,-0.00748729,0.028011,-3.434366,0.97818,0.081616,0.00762744,0
823296,2000,0.0,0.0,-0.00448853,0.040939,-3.439599,0.972563,0.066968,0.00641826,0
827392,2010,0.0,0.0,-0.00558649,0.032129,-3.455836,0.978195,0.066553,0.00781456,0
831488,2020,0.0,0.0,-0.00399971,0.034731,-3.469764,0.975624,0.054688,0.00534254,0
835584,2030,0.0,0.0,-0.00478358,0.046817,-3.485605,0.971057,0.078882,0.00803561,0
839680,2040,0.0,0.0,-0.00544251,0.036931,-3.490679,0.973296,0.060913,0.0057176,0
843776,2050,0.0,0.0,-0.00497491,0.028103,-3.493061,0.97295,0.070557,0.00577332,0
847872,2060,0.0,0.0,-0.00409539,0.034324,-3.494937,0.972267,0.045972,0.0051996,0
851968,2070,0.0,0.0,-0.00307387,0.313488,-3.502169,0.831679,0.073242,0.00726811,0
856064,2080,0.0,0.0,-0.00616484,0.052329,-3.5209,0.958318,0.069385,0.00814358,0
860160,2090,0.0,0.0,-0.00802101,0.03951,-3.538257,0.968526,0.089258,0.00853913,0
864256,2100,0.0,0.0,-0.00488288,0.032078,-3.559918,0.972019,0.071582,0.00801654,0
868352,2110,0.0,0.0,-0.00540584,0.047132,-3.580757,0.968944,0.060986,0.00667796,0
872448,2120,0.0,0.0,-0.00691446,0.033883,-3.588413,0.971073,0.085596,0.00709975,0
876544,2130,0.0,0.0,-0.0058523,0.028069,-3.578357,0.973402,0.066333,0.00675444,0
880640,2140,0.0,0.0,-0.00611391,0.038745,-3.555751,0.973855,0.075635,0.0074307,0
884736,2150,0.0,0.0,-0.00621007,0.047411,-3.554503,0.970019,0.065063,0.00653417,0
888832,2160,0.0,0.0,-0.0051533,0.040037,-3.560569,0.975422,0.054663,0.00635442,0
892928,2170,0.0,0.0,-0.00297831,0.051069,-3.580284,0.970273,0.045923,0.00566962,0
897024,2180,0.0,0.0,-0.00748998,0.039263,-3.583257,0.973509,0.076685,0.00777094,0
901120,2190,0.0,0.0,-0.00703493,0.066095,-3.586566,0.956493,0.070435,0.00801732,0
905216,2200,0.0,0.0,-0.00582122,0.04173,-3.585665,0.969195,0.068701,0.00585068,0
909312,2210,0.0,0.0,-0.0059241,0.05251,-3.601474,0.97174,0.052368,0.00609843,0
913408,2220,0.0,0.0,-0.00674983,0.039436,-3.603817,0.974197,0.062769,0.00721888,0
917504,2230,0.0,0.0,-0.00631386,0.040475,-3.600027,0.975076,0.058032,0.0061205,0
921600,2240,0.0,0.0,-0.00537515,0.032863,-3.59679,0.975167,0.073291,0.0072376,0
925696,2250,0.0,0.0,-0.00554943,0.039084,-3.595592,0.977522,0.064551,0.00662639,0
929792,2260,0.0,0.0,-0.00720055,0.043567,-3.577264,0.962532,0.071436,0.00773165,0
933888,2270,0.0,0.0,-0.00621294,0.036666,-3.581397,0.971821,0.075317,0.00663047,0
937984,2280,0.0,0.0,-0.00570761,0.038793,-3.592124,0.975194,0.07168,0.00691803,0
942080,2290,0.0,0.0,-0.00419261,0.031181,-3.59757,0.975666,0.062402,0.00699647,0
946176,2300,0.0,0.0,-0.00652128,0.042584,-3.601064,0.969247,0.06687,0.00621627,0
950272,2310,0.0,0.0,-0.00614255,0.041738,-3.601072,0.970078,0.081299,0.00865494,0
954368,2320,0.0,0.0,-0.00499326,0.032855,-3.589019,0.977924,0.0552,0.00665089,0
958464,2330,0.0,0.0,-0.00719442,0.036968,-3.577609,0.975183,0.084766,0.00780642,0
962560,2340,0.0,0.0,-0.0070111,0.047179,-3.57946,0.972465,0.089648,0.00875191,0
966656,2350,0.0,0.0,-0.00506785,0.038192,-3.604547,0.968917,0.07002,0.00710305,0
970752,2360,0.0,0.0,-0.0052598,0.048306,-3.629691,0.963539,0.061255,0.0063646,0
974848,2370,0.0,0.0,-0.00677355,0.036677,-3.607607,0.967382,0.064258,0.00699432,0
978944,2380,0.0,0.0,-0.00530059,0.042259,-3.598167,0.965364,0.075562,0.00680546,0
983040,2390,0.0,0.0,-0.00356546,0.036833,-3.59623,0.967695,0.05791,0.00654462,0
987136,2400,0.0,0.0,-0.00487659,0.032849,-3.594154,0.970237,0.063818,0.0064923,0
991232,2410,0.0,0.0,-0.00558541,0.054377,-3.604437,0.966552,0.069849,0.00763023,0
995328,2420,0.0,0.0,-0.00615542,0.038676,-3.613002,0.969966,0.073291,0.006877,0
999424,2430,0.0,0.0,-0.00447332,0.026439,-3.599627,0.973637,0.059375,0.00568207,0
1003520,2440,0.0,0.0,-0.00505743,0.046987,-3.614752,0.964775,0.062646,0.00626062,0
