episode,timestep,ep_length,cum_reward,w_yield,w_water,w_fert,R_yield,R_water,R_fert,yield_kg_ha,total_N_kg_ha,total_W_mm
78,14336,155,54.699067,0.9191,0.0202,0.0607,6.619255,-1.276806,-4.610871,8030.1,200.1,233.3
79,14336,161,5.210015,0.227,0.4875,0.2855,1.350536,-0.1,0.359807,1765.0,5.4,0.0
80,14336,161,58.411775,0.8501,0.0007,0.1492,9.040087,-1.365053,-5.055384,9536.6,220.1,251.6
81,14336,157,22.804462,0.6124,0.0401,0.3475,2.714419,-0.570306,-2.090479,4182.9,103.2,94.1
82,14336,162,8.796755,0.4843,0.1716,0.3441,1.37315,-0.135911,-0.348224,1862.6,32.1,7.2
83,14336,161,5.481822,0.2245,0.3081,0.4675,0.623054,-0.1,0.282338,1043.1,6.9,0.0
84,14336,156,8.079122,0.3987,0.2873,0.314,0.643323,-0.1,0.2382,1175.9,7.7,0.0
85,16384,158,2.394513,0.0566,0.3225,0.6209,0.47706,-0.1,0.300982,631.0,4.7,0.0
86,16384,160,2.018988,0.1056,0.5849,0.3095,1.407103,-0.100173,0.394501,1920.8,4.2,0.0
87,16384,156,14.647444,0.2835,0.1388,0.5777,2.649175,-0.103428,-0.264593,3770.1,31.9,0.7
88,16384,158,16.044195,0.4289,0.0541,0.517,2.607277,-0.105469,-0.759744,3559.2,49.7,1.1
89,16384,163,7.591881,0.2002,0.3049,0.4948,1.47495,-0.125542,0.111477,2202.1,13.2,0.0
90,16384,157,18.394263,0.3442,0.0691,0.5866,4.324452,-0.105401,-0.613836,5004.0,47.4,1.1
91,16384,162,8.136948,0.3804,0.2166,0.403,1.314245,-0.1,0.006281,1723.4,17.6,0.0
92,16384,159,-1.322678,0.0246,0.9695,0.0059,0.729435,-0.1,0.436395,1399.3,1.2,0.0
93,16384,163,5.853327,0.3257,0.435,0.2393,1.441744,-0.1,0.081682,2063.1,16.1,0.0
94,16384,160,10.598594,0.5969,0.2098,0.1934,1.348365,-0.103814,-0.354958,1810.7,30.4,0.8
95,16384,167,9.970861,0.4477,0.4082,0.144,1.412593,-0.1,-0.182687,2042.2,15.2,0.0
96,16384,159,3.270869,0.0924,0.4922,0.4154,0.489353,-0.1,0.386419,697.6,1.6,0.0
97,18432,166,-0.723029,0.1938,0.8014,0.0047,0.564351,-0.1,0.380526,905.0,2.8,0.0
98,18432,167,8.968839,0.0847,0.1371,0.7782,4.484295,-0.140319,-0.64948,5532.4,48.6,8.1
99,18432,157,5.843533,0.5595,0.3279,0.1126,0.579618,-0.130731,-0.189757,1082.0,25.1,6.1
100,18432,163,-0.221445,0.0119,0.7289,0.2592,1.328624,-0.1,0.324248,1733.4,5.1,0.0
101,18432,166,2.531996,0.3368,0.6538,0.0095,0.670034,-0.1,0.330909,1235.5,5.5,0.0
102,18432,162,-3.434633,0.1149,0.8382,0.047,0.62849,-0.1,0.436059,1137.8,0.2,0.0
103,18432,156,6.905571,0.4054,0.5488,0.0458,1.488538,-0.101841,0.158999,2253.9,12.8,0.4
104,18432,162,29.075958,0.8131,0.1102,0.0767,2.816608,-0.386182,-1.319452,4385.2,73.0,57.2
105,18432,155,2.706132,0.0206,0.4252,0.5542,1.673458,-0.101783,0.170787,2706.9,12.3,0.4
106,18432,158,10.039706,0.4902,0.218,0.2918,1.540076,-0.148285,-0.118098,2366.0,24.5,9.7
107,18432,161,5.17334,0.5507,0.3792,0.0701,0.764382,-0.113131,0.026001,1493.7,14.9,2.6
108,18432,158,9.138964,0.0253,0.0037,0.9709,0.579863,-0.167486,-0.391686,1174.0,33.1,13.5
109,20480,164,3.924764,0.1026,0.3756,0.5218,0.472009,-0.102863,-0.124211,830.1,22.6,0.6
110,20480,158,3.417668,0.2335,0.1462,0.6203,0.481238,-0.131392,-0.167915,820.9,23.4,6.3
111,20480,156,4.181747,0.2075,0.6197,0.1728,1.370313,-0.102275,0.25841,1873.4,9.3,0.5
112,20480,162,54.335244,0.8192,0.0301,0.1507,8.990484,-0.917433,-3.145858,9155.2,149.3,163.5
113,20480,160,15.983202,0.4653,0.0498,0.4848,2.567024,-0.201867,-0.916533,3470.6,56.9,20.4
114,20480,154,10.202124,0.6028,0.1839,0.2133,1.438016,-0.215915,-1.355541,2322.2,69.5,23.2
115,20480,159,8.19841,0.3325,0.1679,0.4996,1.458402,-0.144299,-0.438943,2160.6,35.5,8.9
116,20480,162,18.958733,0.6659,0.1416,0.1924,2.588426,-0.213948,-1.358786,3580.0,72.7,22.8
117,20480,157,11.584463,0.525,0.2053,0.2697,1.350077,-0.1522,-0.661938,1951.3,44.6,10.4
118,20480,156,5.92768,0.0535,0.3189,0.6275,1.580663,-0.1,0.147953,2530.0,14.2,0.0
119,20480,160,-6.667867,0.0302,0.9468,0.0231,0.496015,-0.1,0.274764,718.9,6.4,0.0
120,20480,161,7.346549,0.0032,0.2215,0.7753,1.390259,-0.115005,0.058035,1897.4,15.6,3.0
121,22528,164,2.283125,0.2025,0.6109,0.1866,1.276365,-0.102195,-0.07907,1566.6,21.5,0.4
122,22528,168,1.569157,0.0377,0.6913,0.271,0.724906,-0.1,-0.099589,1407.2,21.5,0.0
123,22528,161,1.846003,0.2974,0.4223,0.2803,1.2982,-0.102986,-0.585738,1763.1,40.4,0.6
124,22528,164,10.511655,0.5185,0.3764,0.1051,1.503765,-0.121752,-1.006732,2459.0,58.9,4.4
125,22528,157,39.239399,0.8104,0.0221,0.1675,4.401426,-1.31765,-4.772083,5625.5,205.8,239.3
126,22528,153,-0.123338,0.1295,0.3697,0.5009,0.498327,-0.1,-0.905351,1110.0,48.4,0.0
127,22528,159,2.012041,0.1107,0.4906,0.3988,1.366841,-0.161814,-0.416413,1888.1,35.0,0.7
128,22528,160,12.894074,0.3567,0.2585,0.3848,2.870847,-0.116526,-1.038563,4463.1,63.7,3.3
129,22528,161,-0.117088,0.1017,0.7234,0.1749,1.516642,-0.1,-0.199536,2287.5,27.4,0.0
130,22528,157,8.611025,0.3189,0.2082,0.4729,1.497709,-0.122984,-0.988408,2429.2,58.9,4.6
131,22528,162,4.270618,0.1548,0.1785,0.6667,1.440104,-0.95375,-0.780926,2130.5,42.3,2.4
132,22528,160,9.070625,0.4958,0.2761,0.2282,1.56172,-0.128146,-0.970094,2618.6,56.4,5.6
133,24576,159,-4.054677,0.268,0.1122,0.6198,0.345397,-0.164846,-4.491244,844.9,181.1,13.0
134,24576,158,20.034588,0.4157,0.2345,0.3498,4.627339,-0.227707,-4.014524,6376.0,181.2,25.5
135,24576,158,7.405538,0.3,0.6137,0.0863,2.896597,-0.101374,-2.426764,4793.2,113.2,0.3
136,24576,158,-3.394999,0.0193,0.5176,0.4631,2.483454,-0.104891,-2.548821,3534.3,118.8,1.0
137,24576,158,1.672744,0.0722,0.184,0.7438,4.655491,-0.154563,-3.618583,6420.8,162.7,10.9
138,24576,162,2.987375,0.4011,0.5336,0.0653,1.369218,-0.112652,-2.900337,2348.3,125.0,2.5
139,24576,158,-4.557922,0.0712,0.4169,0.5119,0.399842,-0.109207,-3.480574,987.2,142.4,1.8
140,24576,160,5.807641,0.179,0.0382,0.7828,4.234517,-0.310268,-4.232351,5158.1,182.0,42.1
141,24576,166,1.635582,0.1254,0.0716,0.803,2.808058,-0.221378,-4.670759,4738.8,201.1,24.3
142,24576,161,39.182855,0.6787,0.2848,0.0366,6.638031,-0.561795,-5.168947,8308.8,223.7,92.4
143,24576,161,-7.903458,0.0614,0.7046,0.234,0.594531,-0.102427,-2.668692,1483.3,111.5,0.5
144,24576,160,7.356707,0.3289,0.3252,0.3459,2.6399,-0.123765,-3.287775,4087.2,149.8,4.8
145,26624,157,-5.967219,0.1699,0.4003,0.4298,0.311832,-0.192687,-4.321054,658.5,171.5,18.5
146,26624,162,16.920551,0.3964,0.4676,0.1359,4.812378,-0.236445,-4.384642,6929.3,196.7,27.3
147,26624,165,14.858071,0.589,0.105,0.306,2.397926,-0.841341,-5.863457,3479.4,244.1,148.3
148,26624,164,12.26653,0.3763,0.329,0.2947,4.37327,-0.286252,-4.659497,5574.6,202.8,37.3
149,26624,161,-6.22075,0.0291,0.7572,0.2137,1.257833,-0.131977,-3.617964,1941.0,151.4,6.4
