scenario,level_label,level_idx,corner,R_yield,R_ane,R_water_eff,yield_kg_ha,total_N_kg_ha,total_W_mm
actuator_N,20%,4,balanced,0.8299005230267843,-0.013088186892370382,0.4315255582332611,11003.350830078125,278.7605565633282,227.3897762298584
actuator_N,0%,5,yield,-1.0,-1.0,-1.0,810.624033610026,0.0,879.3815609614054
actuator_N,0%,5,n_eff,-1.0,-1.0,-0.8114153742790222,1018.027712504069,0.0,724.566151301066
actuator_N,0%,5,water,-1.0,-1.0,0.13288766145706177,1628.3967590332031,0.0,346.844934463501
actuator_N,0%,5,balanced,-1.0,-1.0,-1.0,818.9599990844727,0.0,849.8579696019491
actuator_W,100%,0,yield,0.30936259031295776,-0.49568066994349164,0.10457988207538922,8798.671468098959,988.007755279541,358.16804599761963
actuator_W,100%,0,n_eff,0.8390591541926066,0.029868615170319874,0.45510294040044147,10967.268269856771,266.40399169921875,217.95882670084634
actuator_W,100%,0,water,0.7846552530924479,-0.1419283760090669,0.5459002057711283,10777.5439453125,314.0769907633464,181.6399180094401
actuator_W,100%,0,balanced,0.6609219883879026,-0.13011510111391544,0.4175579051176707,10263.67431640625,296.9847997029622,232.97683493296304
actuator_W,80%,1,yield,0.37799588839213055,-0.4711808959643046,0.16160206124186516,9060.164388020834,1054.1274248758953,335.3591748811385
actuator_W,80%,1,n_eff,0.8487175107002258,0.0349473220606645,0.4845981200536092,11013.151041666666,266.1996536254883,206.1607543710826
actuator_W,80%,1,water,0.6440527339776357,-0.21007487177848816,0.5843925674756368,10073.840942382812,318.8284098307292,166.24298235346495
actuator_W,80%,1,balanced,0.6788534671068192,-0.12231990012029807,0.43421820799509686,10356.531372070312,296.7020568847656,226.31271434697115
actuator_W,60%,2,yield,0.4423254132270813,-0.44975584248701733,0.2267325446009636,9336.961873372396,1116.681058247884,309.30698253142396
actuator_W,60%,2,n_eff,0.8474829196929932,0.035737680892149605,0.5193898975849152,11018.232421875,266.09332784016925,192.24404241996317
actuator_W,60%,2,water,0.5133992284536362,-0.272863432765007,0.6424350341161092,9576.051025390625,329.3892466227214,143.02598338184453
actuator_W,60%,2,balanced,0.7282027006149292,-0.10154642909765244,0.45878900090853375,10608.784586588541,296.3572311401367,216.48439651790645
actuator_W,40%,3,yield,0.48588137825330097,-0.4298039525747299,0.31193458040555316,9667.264404296875,1112.5287348429363,275.22616568492367
actuator_W,40%,3,n_eff,0.8591752847035726,0.02977585978806019,0.5812909404436747,10974.911295572916,266.5071792602539,167.48362327440128
actuator_W,40%,3,water,0.05611832936604818,-0.47531913717587787,0.7363523642222086,7833.8108317057295,378.68777720133465,105.45904744341381
actuator_W,40%,3,balanced,0.8373857736587524,-0.06937402735153834,0.5207493503888448,11061.276041666666,297.45399475097656,191.7002552482098
actuator_W,20%,4,yield,0.6407289678851763,-0.4240356634060542,0.45210378368695575,10326.609903971354,880.5339851379395,219.1584853466063
actuator_W,20%,4,n_eff,0.4433240865667661,-0.14950447281201681,0.709568719069163,9309.064737955729,273.74967702229816,116.17251099499317
actuator_W,20%,4,water,-0.49289827048778534,-0.7783142924308777,0.855281929175059,5742.057596842448,484.17516835530597,57.887222403167236
actuator_W,20%,4,balanced,0.6668828725814819,-0.181881753106912,0.6411457657814026,10160.823771158854,310.4517644246419,143.54169211152376
actuator_W,0%,5,yield,-0.6861788779497147,-0.9729491074879965,1.0,4391.43071492513,2073.2674725850425,0.0
actuator_W,0%,5,n_eff,-0.6848890433708826,-0.8067443867524465,1.0,4410.7847086588545,309.2692693074544,0.0
actuator_W,0%,5,water,-0.7064472635587057,-0.9211046695709229,1.0,4333.619333902995,631.7786102294922,0.0
actuator_W,0%,5,balanced,-0.6855234156052271,-0.9627549449602762,1.0,4410.7350667317705,1318.2466506958008,0.0
