====================================================================
12_capql_train_robust.py  —  CAPQL-Robust (MLP + fault training)
====================================================================
  Obs dim  : 19  (crop(11) + mask(5) + w(3))
  Actor    : MLP  (19→256→256→2)
  Critic   : MLP  (21→256→256→1)
  Steps    : 1,000,000  |  warmup 5,000  |  batch 256
  Hindsight: w ~ Dirichlet(1,1,1) resampled at every batch
  Aug λ=0.5  ε=0.1
  Fault mix: 60% clean | 10% dropout | 10% packet | 10% stuck | 5% N-act | 5% W-act
====================================================================

     ep      step    R_yld    R_ane    R_wef    yield                   w  ETA
  ────────────────────────────────────────────────────────────────────────────
  Collecting warmup steps...

   1610   256,823   -0.304   -0.946   +0.526     6463  [0.01,0.11,0.89]  ETA 254.4m
   1620   258,442   +1.000   -0.901   -0.721    11867  [0.28,0.43,0.29]  ETA 253.8m
   1630   260,040   +1.000   -0.885   -0.757    11673  [0.85,0.04,0.10]  ETA 253.2m
   1640   261,632   +0.361   -0.914   -0.158     8994  [0.25,0.22,0.53]  ETA 252.6m
   1650   263,215   +0.846   -0.893   -0.824    10844  [0.40,0.43,0.17]  ETA 251.9m
   1660   264,805   +0.404   -0.933   +0.445     9158  [0.00,0.00,1.00]  ETA 251.3m
   1670   266,415   +0.731   -0.898   -0.851    10406  [0.59,0.40,0.01]  ETA 250.7m
   1680   268,007   +0.730   -0.927   -0.763    10403  [0.50,0.23,0.28]  ETA 250.1m
   1690   269,606   +1.000   -0.916   -0.783    12125  [0.63,0.34,0.03]  ETA 249.5m
   1700   271,195   +0.298   -0.911   -0.698     8754  [0.39,0.42,0.20]  ETA 248.8m
   1710   272,802   +0.744   -0.905   -0.711    10454  [1.00,0.00,0.00]  ETA 248.2m
   1720   274,384   +0.928   -0.887   -0.489    11155  [0.57,0.05,0.38]  ETA 247.6m
   1730   275,992   +0.423   -0.903   -0.167     9233  [0.00,0.46,0.54]  ETA 247.0m
   1740   277,597   +0.971   -0.905   -0.772    11318  [0.63,0.06,0.31]  ETA 246.4m
   1750   279,181   +0.586   -0.914   -0.774     9852  [0.79,0.10,0.11]  ETA 245.8m
   1760   280,797   +0.686   -0.871   -0.911    10233  [0.41,0.59,0.01]  ETA 245.2m
   1770   282,376   +0.731   -0.905   -0.557    10404  [0.60,0.34,0.05]  ETA 244.5m
   1780   283,969   +0.493   -0.883   -0.566     9499  [0.13,0.56,0.31]  ETA 243.9m
   1790   285,576   +1.000   -0.881   -1.000    12319  [0.46,0.12,0.42]  ETA 243.3m
   1800   287,166   +1.000   -0.893   -0.148    12063  [0.23,0.28,0.49]  ETA 242.7m
   1810   288,765   +0.514   -0.906   -0.488     9578  [0.30,0.18,0.52]  ETA 242.1m
   1820   290,382   +0.566   -0.912   -0.759     9775  [0.50,0.39,0.11]  ETA 241.5m
   1830   292,016   +1.000   -0.867   -0.770    11696  [0.13,0.62,0.25]  ETA 240.8m
   1840   293,599   -0.166   -0.058   -0.508     6988  [0.00,1.00,0.00]  ETA 240.2m
   1850   295,191   +0.522   -0.908   -0.803     9607  [0.55,0.24,0.21]  ETA 239.7m
   1860   296,786   +0.921   -0.892   -0.824    11128  [0.69,0.09,0.22]  ETA 239.1m
   1870   298,399   +0.547   -0.903   -0.934     9705  [0.69,0.09,0.22]  ETA 238.4m
   1880   300,008   +0.060   -0.936   -0.815     7847  [0.77,0.21,0.02]  ETA 237.8m
   1890   301,598   +1.000   -0.726   -1.000    11890  [0.22,0.74,0.04]  ETA 237.2m
