day,action_N,action_W,grnwt,swfac,nstres
39,1.832021713256836,5.212068557739258,0.0,0.0,0.0
40,1.7997022867202759,5.114303112030029,0.0,0.0,0.0
41,1.7679550647735596,5.017967700958252,0.0,0.0,0.0
42,1.7368049621582031,4.923150539398193,0.0,0.0,0.0
43,1.7062746286392212,4.829936981201172,0.0,0.0,0.0
44,1.6763834953308105,4.738415241241455,0.0,0.0,0.0
45,1.6471481323242188,4.648669719696045,0.0,0.0,0.012191057205200195
46,1.6270917654037476,4.460092067718506,0.0,0.0,0.018530309200286865
47,1.6091535091400146,4.40081262588501,0.0,0.0,0.01609724760055542
48,1.5646061897277832,4.182631015777588,0.0,0.0,0.011619925498962402
49,1.5309326648712158,4.09373664855957,0.0,0.0,0.007061362266540527
50,1.4855223894119263,3.9019551277160645,0.0,0.0,0.003910183906555176
51,1.456251621246338,3.8289291858673096,0.0,0.0,0.0
52,1.427512288093567,3.7573487758636475,0.0,0.0,0.0
53,1.3996984958648682,3.626596212387085,0.0,0.0,0.0
54,1.3814293146133423,3.5790648460388184,0.0,0.0,0.0
55,1.3633959293365479,3.5330190658569336,0.0,0.0,0.0
56,1.3485066890716553,3.4413459300994873,0.0,0.0,0.0
57,1.334784746170044,3.4054646492004395,0.0,0.0,0.0
58,1.3220646381378174,3.3717288970947266,0.0,0.0,0.0
59,1.3126261234283447,3.3430261611938477,0.0,0.0,0.0
60,1.3243764638900757,3.3005361557006836,0.0,0.0,0.0
61,1.3202447891235352,3.2809438705444336,0.0,0.0,0.0
62,1.315887451171875,3.2616419792175293,0.0,0.0,0.0
63,1.3496662378311157,3.2516956329345703,0.0,0.0,0.0
64,1.347270131111145,3.2366440296173096,0.0,0.0,0.0
65,1.344361662864685,3.2218337059020996,0.0,0.0,0.0
66,1.3464864492416382,3.215590000152588,0.0,0.0,0.0
67,1.4072763919830322,3.2464959621429443,0.0,0.0,0.0
68,1.4182785749435425,3.249790668487549,0.0,0.0,0.0
69,1.4383659362792969,3.2670769691467285,0.0,0.0,0.002214789390563965
70,1.4640741348266602,3.2931509017944336,0.0,0.0,0.0
71,1.561801791191101,3.3668761253356934,0.0,0.0,0.0
72,1.6092413663864136,3.4164419174194336,0.0,0.0,0.0
73,1.7203330993652344,3.5122787952423096,0.0,0.0,0.0
74,1.7688590288162231,3.5669329166412354,0.0,0.0,0.0
75,1.8642913103103638,3.6376545429229736,0.0,0.0,0.0
76,1.8913838863372803,3.653773784637451,0.0,0.0,0.0
77,1.8949302434921265,3.627896308898926,0.0,0.0,0.0
78,1.9781302213668823,3.6920979022979736,0.0,0.0,0.0
79,2.014760732650757,3.7310383319854736,0.0,0.0,0.0
80,2.0529470443725586,3.7740414142608643,0.0,0.0,0.0
81,2.0846571922302246,3.8102188110351562,0.0,0.0,0.0
82,2.162994146347046,3.89289927482605,0.0,0.0,0.0
83,2.1923139095306396,3.929797410964966,0.0,0.0,0.0
84,2.2183375358581543,3.9637088775634766,0.0,0.0,0.0
85,2.283245801925659,4.033045768737793,0.0,0.0,0.0
86,2.299215793609619,4.054648399353027,0.0,0.0,0.0
87,2.3230326175689697,4.0817108154296875,0.0,0.0,0.0
88,2.3732972145080566,4.133925914764404,0.0,0.0,0.0
89,2.2641286849975586,3.8861918449401855,0.0,0.0,0.0
90,2.2477285861968994,3.840977191925049,0.0,0.0,0.009529471397399902
91,2.245309352874756,3.8228812217712402,0.0,0.0,0.019748806953430176
92,2.2837305068969727,3.8415846824645996,0.0,0.0,0.027191102504730225
93,2.2852225303649902,3.8263673782348633,0.0,0.0,0.04656112194061279
94,2.326913833618164,3.8561835289001465,0.0,0.0,0.059122562408447266
95,2.340219736099243,3.8678274154663086,0.0,0.0,0.0714484453201294
96,2.3364827632904053,3.837000846862793,0.0,0.0,0.08265304565429688
97,2.3492867946624756,3.825873851776123,0.0,0.0,0.09536135196685791
98,2.34716796875,3.8116960525512695,0.0,0.0,0.10336458683013916
99,2.3425168991088867,3.7782795429229736,0.0,0.0,0.11033493280410767
100,2.3562681674957275,3.7886335849761963,0.0,0.0,0.12161374092102051
101,2.361757278442383,3.8082315921783447,0.0,0.0,0.13046061992645264
102,2.3798093795776367,3.857950448989868,0.0,0.0,0.1360018253326416
103,2.3819351196289062,3.8936681747436523,0.0,0.0,0.13728654384613037
104,2.3908092975616455,3.93707275390625,0.0,0.0,0.13993394374847412
105,2.3852853775024414,3.956756353378296,0.0,0.0,0.14057910442352295
106,2.3796236515045166,3.976964235305786,0.0,0.0,0.13669568300247192
107,2.3890724182128906,4.019507884979248,0.0,0.0,0.13416272401809692
108,2.3813741207122803,4.029431343078613,0.0,0.0,0.1282665729522705
109,2.3721108436584473,4.034666538238525,0.0,0.0,0.12248349189758301
110,2.3647663593292236,4.042046546936035,0.0,0.0,0.1178891658782959
111,2.3584957122802734,4.045938491821289,0.0,0.0,0.11109501123428345
112,2.3511037826538086,4.044669151306152,0.0,0.0,0.10421264171600342
113,2.345494508743286,4.043454170227051,0.0,0.0,0.09973645210266113
114,2.3449928760528564,4.038386344909668,0.0,0.0,0.09357941150665283
115,2.34274959564209,4.021176815032959,0.0,0.0,0.08695363998413086
116,2.3425235748291016,4.002751350402832,0.0,0.0,0.07952409982681274
117,2.343233346939087,3.978855609893799,0.0,0.0,0.07260030508041382
118,2.32672381401062,3.9060494899749756,0.0,0.0,0.06438487768173218
119,2.150200605392456,3.393312454223633,0.0,0.0,0.052939414978027344
120,2.1181869506835938,3.2739601135253906,0.0,0.0,0.03988456726074219
121,2.1159675121307373,3.2276031970977783,0.0,0.0,0.026681244373321533
122,2.1090891361236572,3.1754555702209473,0.0,0.0,0.011453747749328613
123,2.1005120277404785,3.1222474575042725,280.03881454467773,0.0,0.0
124,2.0908305644989014,3.154566764831543,560.0776290893555,0.0,0.0
125,2.098719835281372,3.2082486152648926,840.1164245605469,0.0,0.0006773471832275391
126,2.1112494468688965,3.254683256149292,1120.155258178711,0.0,0.0023598670959472656
127,2.1304514408111572,3.302518367767334,1400.194091796875,0.0,0.003628969192504883
128,2.143817186355591,3.3248109817504883,1680.2328491210938,0.0,0.004912257194519043
129,2.0503854751586914,3.0930309295654297,1960.2714538574219,0.0,0.006227850914001465
130,2.053774833679199,3.0722529888153076,2240.3102111816406,0.0,0.007922768592834473
131,2.0801031589508057,3.096754550933838,2520.3489685058594,0.0,0.009392023086547852
132,2.1193408966064453,3.147810459136963,2800.3878784179688,0.0,0.011565685272216797
133,2.1576333045959473,3.1982719898223877,3080.4266357421875,0.0,0.012898683547973633
134,2.1823525428771973,3.2178328037261963,3360.4653930664062,0.0,0.01426684856414795
135,2.1466267108917236,3.088587522506714,3640.504150390625,0.0,0.017394602298736572
136,2.160895586013794,3.0929503440856934,3920.5429077148438,0.0,0.020299792289733887
137,2.1704368591308594,3.0961811542510986,4200.5816650390625,0.0,0.023386240005493164
138,2.1741132736206055,3.0986034870147705,4480.620422363281,0.0,0.026260018348693848
139,2.1706933975219727,3.0997486114501953,4760.6591796875,0.0,0.02877962589263916
140,2.1723268032073975,3.13468337059021,5006.1334228515625,0.0,0.029980897903442383
141,2.170262575149536,3.1761720180511475,5248.5821533203125,0.0,0.028806328773498535
142,2.1659488677978516,3.2329013347625732,5471.541748046875,0.0,0.027030646800994873
143,2.153675079345703,3.2799625396728516,5684.22607421875,0.0,0.02376687526702881
144,2.136162519454956,3.323838472366333,5910.504150390625,0.0,0.02011173963546753
145,2.1094887256622314,3.355228900909424,6131.307373046875,0.0,0.017895638942718506
146,2.0836925506591797,3.3880040645599365,6411.346435546875,0.0,0.016718029975891113
147,2.0483806133270264,3.411914348602295,6655.1373291015625,0.0,0.020688414573669434
148,2.0186116695404053,3.4257383346557617,6915.5255126953125,0.0,0.02209329605102539
149,1.990777611732483,3.4467475414276123,7154.835205078125,0.0,0.025522351264953613
150,1.9749696254730225,3.4789960384368896,7388.9898681640625,0.0,0.027232646942138672
151,1.9532461166381836,3.4961178302764893,7608.748779296875,0.0,0.028785228729248047
152,1.9213494062423706,3.524899482727051,7833.13232421875,0.0,0.031236767768859863
153,1.8832066059112549,3.52970290184021,8060.3765869140625,0.0,0.03363382816314697
154,1.7166386842727661,3.250215530395508,8263.726196289062,0.0,0.03286087512969971
155,1.6740107536315918,3.216712713241577,8521.150512695312,0.0,0.03235483169555664
156,1.668784260749817,3.2406485080718994,8784.237670898438,0.0,0.03934836387634277
157,1.6689363718032837,3.2464864253997803,9064.276123046875,0.0,0.04795849323272705
158,1.5857949256896973,3.031090497970581,9344.315795898438,0.0,0.05907583236694336
159,1.5849913358688354,2.992894172668457,9573.237915039062,0.0,0.07014662027359009
160,1.6026077270507812,3.0038444995880127,9800.720825195312,0.0,0.0742458701133728
161,1.6188206672668457,3.0250115394592285,9800.720825195312,0.0,0.07725530862808228
162,1.6307640075683594,3.063551664352417,9800.720825195312,0.0,0.07725530862808228
163,1.6388280391693115,3.0972423553466797,9800.720825195312,0.0,0.07725530862808228
