episode,cum_reward,yield_kg_ha,total_N_kg_ha
586,7.463794,3046.3,419.5
587,-9.225418,5325.3,364.3
588,-5.743807,5498.0,355.6
589,-0.676464,4870.2,360.9
590,10.090919,2863.9,413.9
591,24.36518,6884.9,380.4
592,-8.964177,5606.6,350.0
593,-6.820532,2174.3,411.0
594,41.240714,5249.7,336.3
595,14.75726,5091.0,371.9
596,27.189754,6043.0,396.6
597,-13.926834,2071.9,380.9
598,-8.931588,3798.7,346.3
599,0.574374,4450.7,334.7
600,-9.994722,3194.9,381.3
601,6.395846,6523.9,310.7
602,-4.557501,4661.8,398.1
603,-3.802149,7366.9,284.7
604,23.492761,6868.5,364.8
605,11.249323,6374.3,381.5
606,28.898346,8424.2,355.7
607,24.346826,6724.5,379.7
608,13.662236,6294.0,315.2
609,-1.335787,9304.5,271.1
610,7.533029,2203.5,361.2
611,-11.613495,7206.5,307.4
612,15.326887,6367.7,330.3
613,-2.910601,9133.4,297.0
614,32.946711,5425.0,356.8
615,-1.411284,4307.9,347.0
616,20.885149,4997.9,364.8
617,-7.517327,9175.5,308.9
618,17.02584,2868.3,305.3
619,-8.542412,8140.4,281.6
620,17.136882,9596.5,340.2
621,34.192565,5377.0,349.5
622,17.904979,8163.5,352.2
623,8.70072,5351.9,323.2
624,3.198607,4725.6,287.4
625,42.491595,6329.1,354.2
626,16.041255,8114.5,350.1
627,-1.951725,9257.3,341.5
628,-10.850827,6223.2,303.4
629,8.951118,8883.3,326.7
630,7.727726,8251.4,364.2
631,27.100305,6748.7,397.3
632,2.895349,7971.5,354.6
633,-7.338539,6893.1,320.4
634,10.193099,7623.3,344.8
635,6.204421,7970.5,348.3
636,5.465469,6630.2,338.8
637,11.103298,9354.8,337.3
638,-3.533013,7055.4,253.0
639,16.865917,11395.6,364.3
640,-2.877999,9670.6,321.6
641,7.576939,9893.5,383.7
642,-0.449077,5237.7,370.4
643,33.283835,4268.3,330.3
644,6.782015,8447.8,359.3
645,-3.501315,7297.4,307.2
646,-6.90833,7880.9,286.0
647,1.723501,9507.7,315.3
648,13.756133,9137.7,387.1
649,16.736645,8732.8,384.7
650,-4.140458,9179.7,346.4
651,-0.317751,9130.9,268.4
652,17.300597,8790.0,321.1
653,26.853196,7283.6,384.3
654,14.279931,8912.5,389.3
655,22.785581,3293.2,351.1
656,12.910153,9896.4,373.1
657,-12.700132,7135.1,301.8
658,-1.060116,9168.3,333.8
659,45.959815,9358.6,375.1
660,6.169197,11365.6,360.3
661,7.378125,2972.9,360.9
662,16.379052,4895.6,321.9
663,-5.043741,8300.5,319.0
664,10.113591,5268.0,348.2
665,17.455917,3740.9,282.0
666,3.659137,7510.3,323.1
667,18.503867,3123.6,292.1
668,30.343061,4664.3,332.6
669,16.536157,2591.1,349.0
670,43.084276,8083.3,373.5
671,41.284981,7650.6,347.0
672,12.504277,6211.1,419.1
673,22.986488,7509.4,361.9
674,10.608818,9721.0,338.8
675,-10.407364,8173.3,323.1
676,-1.411107,8013.4,339.5
677,17.530088,6630.3,339.0
678,8.452851,6991.2,356.4
679,16.314918,7825.7,355.0
680,4.70326,5877.3,365.6
681,5.620528,1233.4,324.4
682,16.701912,9213.1,375.7
683,3.107679,8030.6,356.0
684,18.957461,3276.9,337.7
685,25.591017,4813.3,357.7
686,34.118633,9452.0,367.4
687,5.323688,1211.4,317.1
688,-8.295168,9299.7,291.9
689,1.483364,9913.8,349.9
690,5.588697,8945.1,394.1
691,17.290155,8717.2,399.9
692,17.248824,9701.9,367.9
693,15.312771,5407.2,333.3
694,20.864974,10668.0,372.6
695,41.327219,5487.0,325.9
696,27.331079,10200.8,351.3
697,9.462053,7987.4,347.3
698,12.848404,8304.5,334.1
699,-3.520388,10994.2,319.2
700,13.238815,5933.0,357.0
701,15.143042,11567.8,367.2
702,-4.455535,9167.5,316.6
703,24.760321,9765.1,411.1
704,22.251326,10281.4,364.4
705,-0.56873,9665.0,331.9
706,9.579786,3108.6,309.1
707,6.066618,1259.0,304.1
708,27.29463,11408.0,362.3
709,5.137727,8395.8,322.2
710,0.381874,8400.2,312.5
711,0.103899,7167.5,328.1
712,14.990447,1668.3,325.8
713,15.951702,7728.7,363.3
714,-4.923956,8002.6,333.6
715,29.266961,6006.3,315.9
716,-8.625166,8133.0,282.7
717,17.345724,4972.5,337.4
718,-1.312761,8330.9,356.4
719,34.406938,10786.0,347.1
720,-10.300016,8906.3,310.2
721,13.24957,10703.5,399.8
722,-1.226211,9647.9,321.6
723,23.045742,9311.7,412.3
724,22.449766,4803.8,328.6
725,6.880141,1697.6,278.5
726,28.388723,10661.2,367.5
727,15.525924,7462.7,367.6
728,-4.262123,7105.0,303.7
729,-8.288004,7782.1,282.3
730,14.708531,10883.3,362.3
731,1.636845,8875.2,306.7
732,-1.15931,9366.9,350.1
733,28.163727,4693.6,283.7
734,-6.285304,7935.1,351.2
735,-4.188016,8997.1,289.5
736,55.378888,7094.9,322.9
737,-0.043506,9169.4,298.8
738,0.017158,9165.8,341.9
739,12.871267,2374.5,312.8
740,31.828605,8229.9,379.8
741,20.14741,8102.5,391.8
742,11.029346,9271.5,347.4
743,-6.408273,10279.5,321.2
744,27.112192,4659.8,299.7
745,27.473138,3581.2,269.8
746,-3.503332,7774.7,303.3
747,-3.924032,8633.4,291.3
748,-10.356589,8513.5,316.4
749,30.46267,8221.4,369.9
750,18.02729,2025.9,310.5
751,26.845479,10569.4,355.3
752,1.519425,9013.0,315.1
753,-0.796881,9460.0,329.1
754,20.632215,9517.8,373.5
755,12.884829,9800.4,367.5
756,-10.993873,10446.8,308.8
757,-4.507022,8390.1,339.7
758,34.944143,8535.6,349.7
759,21.921543,2961.6,327.1
760,-6.888929,8930.9,322.4
761,-2.763391,10150.8,323.9
762,-5.352123,8878.9,320.5
763,-4.744941,9063.0,302.6
764,23.326466,8179.3,344.0
765,1.252569,8630.7,328.3
766,-4.473797,8299.6,330.4
767,-4.821098,10193.3,339.1
768,-3.61177,7573.8,307.5
769,19.772452,9996.9,388.7
770,22.420625,4427.8,305.8
771,-8.24137,8904.6,296.7
772,17.728572,9668.0,335.9
773,-5.116004,10098.3,299.5
774,6.559201,9334.1,315.2
775,9.522666,9548.7,324.7
776,21.728874,10196.3,337.2
777,21.01491,3206.1,318.2
778,34.393263,9749.3,340.6
779,-5.332221,8457.7,305.0
780,25.462654,9105.0,373.5
781,32.885406,8871.2,351.5
782,12.222766,8564.7,301.1
783,12.934098,8519.2,358.9
784,25.960668,8684.7,366.3
785,26.462493,8469.8,357.8
786,20.036642,9127.2,331.3
787,-3.48951,9103.1,333.9
788,20.669706,8177.5,362.0
789,-3.359089,8737.8,356.8
790,2.529573,10568.4,330.3
791,4.490511,11638.5,310.4
792,25.10932,10096.5,342.5
793,20.682934,11395.2,370.8
794,8.23584,8630.1,304.8
795,25.085906,10346.9,379.6
796,28.028231,10944.4,356.8
797,10.571933,9462.6,331.4
798,14.065429,9454.7,334.6
799,-3.861896,9791.4,307.5
800,-10.666645,7833.7,304.6
801,28.136684,10972.1,341.1
802,32.106157,3913.6,348.8
803,12.456432,8558.4,365.5
804,0.643145,10150.9,305.0
805,22.090724,8673.5,365.3
806,-6.658187,8561.9,291.2
807,-5.815966,8128.7,315.0
808,40.589826,9931.3,375.6
809,36.609408,7366.7,360.7
810,5.151927,7961.5,335.8
811,23.470268,11673.2,338.5
812,26.421371,5429.6,345.0
813,29.560017,5691.5,338.8
814,27.328777,10282.5,381.2
815,-6.086014,9156.2,318.8
816,-10.87305,9131.4,304.4
817,26.394108,9721.7,371.6
818,26.332379,3876.9,325.4
819,19.400105,10016.9,368.3
820,-8.149237,8489.4,289.4
821,-8.056163,7284.0,309.6
822,15.149392,10249.9,361.7
823,9.259703,8566.3,334.8
824,9.483146,8125.0,353.8
825,32.244632,7723.7,378.4
826,7.664532,7678.3,341.0
827,-3.521461,9676.2,292.7
828,6.553394,10323.2,331.2
829,30.018604,5534.6,351.1
830,34.640247,5938.6,360.2
831,48.299996,10162.2,354.9
832,40.226009,10156.8,386.9
833,13.368575,9798.0,343.6
834,10.842283,9649.1,377.2
835,15.121918,9044.4,351.5
836,29.369273,9732.8,400.1
837,12.234623,10180.0,338.5
838,-6.743429,9263.9,315.6
839,-11.099271,8704.6,328.0
840,19.627261,11057.2,396.1
841,2.564315,10483.4,344.5
842,14.931021,6643.5,375.1
843,11.650339,8783.4,342.8
844,-4.265402,8868.6,334.7
845,4.77958,10166.9,342.7
846,25.285326,3410.4,353.5
847,-9.384667,10851.7,337.2
848,-5.415412,9258.9,335.2
849,41.500169,7143.7,374.4
850,42.76688,6458.5,357.6
851,41.096,9068.5,370.2
