day,action_N,action_W,grnwt,swfac,nstres
112,2.1544690132141113,3.6547489166259766,0.0,0.0,0.08025813102722168
113,2.157766342163086,3.6504199504852295,0.0,0.0,0.07662010192871094
114,2.1614139080047607,3.633140802383423,0.0,0.0,0.07113981246948242
115,2.1693472862243652,3.622948169708252,0.0,0.0,0.06428498029708862
116,2.1797964572906494,3.6082510948181152,0.0,0.0,0.05643165111541748
117,2.1937596797943115,3.591954231262207,0.0,0.0,0.04924023151397705
118,2.1958236694335938,3.5132906436920166,0.0,0.0,0.04052329063415527
119,2.1918046474456787,3.1710662841796875,0.0,0.0,0.02845543622970581
120,2.21163272857666,3.049129009246826,0.0,0.0,0.014234423637390137
121,2.2345523834228516,2.9794063568115234,0.0,0.0,0.0
122,2.257591485977173,2.9344899654388428,0.0,0.0,0.0
123,2.272738218307495,2.9111735820770264,293.83609771728516,0.0,0.0
124,2.32589054107666,2.895503520965576,587.6721954345703,0.0,0.0
125,2.3817391395568848,2.882952928543091,881.5083312988281,0.0,0.0
126,2.4389517307281494,2.864511013031006,1175.3443908691406,0.0,0.0
127,2.4962193965911865,2.8443524837493896,1469.1804504394531,0.0,0.0
128,2.5520434379577637,2.8088157176971436,1763.0165100097656,0.0,0.0
129,2.5999410152435303,2.6328113079071045,2056.852569580078,0.0,0.0
130,2.6428773403167725,2.5544819831848145,2350.6887817382812,0.0,0.0
131,2.6820390224456787,2.508566379547119,2644.525146484375,0.0,0.0
132,2.718228816986084,2.4945220947265625,2938.3612060546875,0.0,0.0
133,2.747044324874878,2.483436107635498,3232.1975708007812,0.0,0.0
134,2.765967845916748,2.4598548412323,3526.0336303710938,0.0,0.0
135,2.754009485244751,2.3213000297546387,3819.8696899414062,0.0,0.0
136,2.7514736652374268,2.2852487564086914,4113.7060546875,0.0,0.0
137,2.7418065071105957,2.255899429321289,4407.5421142578125,0.0,0.0
138,2.7242431640625,2.229257106781006,4701.378173828125,0.0,0.0
139,2.6990721225738525,2.205148696899414,4995.2142333984375,0.0,0.0
140,2.671729326248169,2.1995837688446045,5252.7825927734375,0.0,0.0
141,2.6455113887786865,2.216052770614624,5507.1771240234375,0.0,0.0
142,2.614593505859375,2.2384872436523438,5741.1212158203125,0.0,0.0
143,2.579580307006836,2.2591938972473145,5964.28466796875,0.0,0.0
144,2.54172682762146,2.2806644439697266,6201.71142578125,0.0,0.0
145,2.498706340789795,2.298029899597168,6433.3929443359375,0.0,0.0
146,2.4488677978515625,2.3293464183807373,6727.22900390625,0.0,0.0
147,2.380186080932617,2.362454652786255,6983.0316162109375,0.0,0.0
148,2.3172390460968018,2.397871971130371,7256.248779296875,0.0,0.0
149,2.2576818466186523,2.4190597534179688,7507.3486328125,0.0,0.0
150,2.206465005874634,2.459400177001953,7751.3848876953125,0.012249231338500977,0.0
151,2.1675899028778076,2.4628775119781494,7981.9708251953125,0.0,0.0
152,2.133410930633545,2.522481918334961,8148.3935546875,0.5329823791980743,0.0
153,2.1234018802642822,2.5687999725341797,8386.832885742188,0.0,0.0
154,2.1138992309570312,2.435664653778076,8600.202026367188,0.0,0.0
155,2.113288640975952,2.4538686275482178,8870.308837890625,0.0,0.0
156,2.126657485961914,2.5063772201538086,9146.358642578125,0.0,0.0
157,2.1410694122314453,2.5417368412017822,9440.194702148438,0.0,0.0
158,2.112380266189575,2.447997808456421,9734.030151367188,0.0,0.0
159,2.109898328781128,2.4398410320281982,9974.23095703125,0.0,0.0
160,2.123508930206299,2.4668407440185547,10212.921142578125,0.0,0.0
161,2.146103858947754,2.510594367980957,10212.921142578125,0.0,0.0
162,2.15547776222229,2.5358777046203613,10212.921142578125,0.0,0.0
163,2.1625587940216064,2.5578176975250244,10212.921142578125,0.0,0.0
